N,r,M,a0,a1,b0,b1,a0_cf,a1_cf,b0_cf,b1_cf,ll,ll_cf,iters,iters_cf
500,52,57,0.013378998293645873,0.018175570359916782,0.8873091358207285,0.864500705947546,0.014032820151173138,0.017931845862519415,0.8933094970306268,0.8613755791004556,-728.4007752646608,-728.4021203144179,14,8
500,53,32,0.001894689631158537,0.03322128730858439,0.7814412354087513,0.826830148884579,0.0019456271917786259,0.033257320961307915,0.7823952359821179,0.8271494342649576,-770.9137117114706,-770.914103823465,17,18
500,54,53,0.00012832814280686367,0.03161024887030196,0.8488477286926324,0.848420435508978,0.00013352229392722716,0.031677590101450416,0.8486622658349439,0.8488802317091801,-746.449515036234,-746.4502795897764,14,13
500,55,38,0.002970962608884625,0.02284332418674692,0.760659146228746,0.9125851874771588,0.0028844060397577405,0.024152080623098645,0.755835278549448,0.9211970935589291,-762.6494247727579,-762.6577457780695,14,9
500,56,59,0.010654567503814685,0.02525144286114517,0.8524832135506574,0.8884541779622845,0.010405837901781805,0.026345880798033797,0.848671603279651,0.893960973531075,-734.5700671541072,-734.5758742518077,13,19
500,57,70,0.00011402717303229646,0.04039476534192071,0.7163938060535758,0.9177998188232962,0.00010229529270305675,0.036936958748109046,0.7261921139882406,0.9072228908144572,-753.9152734804138,-754.0013670731323,26,24
500,58,92,0.030011821823141865,0.03231696934202027,0.8506654082154865,0.8730893381092358,0.028895966758189173,0.029881562923637355,0.8464384952733798,0.8643047543753258,-731.8046249204979,-731.8565462071905,25,20
500,59,75,0.004587259074419206,0.0395918125686944,0.6913751366355884,0.929104602898264,0.004781809731019594,0.036588904718732176,0.707050277955739,0.9166220954472055,-706.6789913801282,-706.7877364949243,23,24
500,60,7,2.566916755223061e-05,0.015835918088290997,0.6118030789485448,0.5385817359197765,2.5606277967268125e-05,0.016009519060511315,0.6105479067805593,0.5427892148338015,-807.0272785402033,-807.028135174007,14,14
500,61,53,0.013134048786199873,0.02379838063976838,0.5761641228975735,0.9217089739322692,0.013052609573686619,0.025119817153356302,0.5728027230837859,0.9267592533168387,-760.9692575742276,-760.9737465457573,17,16
500,62,90,0.01484768112990916,0.046166015120110475,0.870508644334687,0.8859640559171393,0.015650912384440958,0.04554421996408073,0.8744598930833837,0.8827354460866077,-746.6919955345832,-746.6990697790238,25,29
500,63,70,8.163310357682772e-05,0.026584366430931212,0.8603975870968238,0.9250134863882156,8.472913888091715e-05,0.02663145594661383,0.860283792269782,0.925207459361691,-712.3182898760998,-712.3187769215097,17,17
500,64,46,0.009816697053859652,0.03033002840609175,0.9649887874998665,0.7125857172886805,0.005286546396370363,0.031789945000434264,0.9069868066611021,0.7453294220514506,-781.8552182749455,-782.6318005161903,16,20
500,65,65,0.009893281980783798,0.03808234805298514,0.9024670929961974,0.7809043933238148,0.010920422267051231,0.03738320212602792,0.9066323465334574,0.7751802462263363,-769.3659838543588,-769.3660298212404,30,20
500,66,61,0.004826019758698086,0.046267222509700424,0.56513432220356,0.9094094858083969,0.004684174082816951,0.04821821088744537,0.5472777640050853,0.9170148034196859,-763.2459921774852,-763.2392951263215,52,44
500,67,41,0.011209962682664802,0.035944827860408,0.4839766766718401,0.8788303728531479,0.011287412786446252,0.035930280275097634,0.4853902843598395,0.8788307706523465,-787.5008089901467,-787.5027318430308,13,12
500,68,47,0.00537655917753024,0.014378241765315424,0.7850176450928366,0.908330202058331,0.005346814127963587,0.014886035301475677,0.7834988664916218,0.911452146692567,-738.397981431949,-738.400990843387,11,11
500,69,42,0.0013682364726099589,0.017632431344857,0.5120807524711205,0.8836085572770096,0.0011591882749924813,0.018111728165500062,0.5066457056434818,0.8867593394100863,-766.1378799637382,-766.1305700135802,63,62
