model,scenario,N,r,M,bursts,LR,ll0,ll1,it0,it1,tr0_maxgap,tr1_max,tr1_argmax,tr1_first,LL0_th1,P0,P1,L1step0,nev0,nev1,th0_mu0,th1_mu0,th0_mu1,th1_mu1,th0_s0,th1_s0,th0_s1,th1_s1,th0_A00,th1_A00,th0_A11,th1_A11,alt_onset0,alt_onset1,alt_persistence0,alt_persistence1,seconds
hmc_dn,markov-null,500,10,31,7,8.830948208905056,-555.6767016530987,-551.2612275486462,36,19,0.12756869813625826,4.415474104452528,18,1.1368683772161603e-13,-555.4923958820541,-551.5174847334415,-551.207044833127,-553.3034609247358,45,50,-0.6591183820430924,-0.7295490936355887,1.274046142476227,1.2584988645570974,1.1637795498992156,1.1389921983622926,0.926728958263288,0.9278482898176963,0.8645536320942051,0.8670431225936708,0.9259145457777349,0.9264114950577504,0.04433770481761535,0.000200838042643467,0.8535079758619639,0.5991522112073586,4.0968358516693115
hmc_dn,markov-null,500,11,42,12,11.724319511849217,-589.6802146055247,-583.8180548496001,149,39,1.2336260790589222,5.86389356022778,25,1.1368683772161603e-13,-588.4880624671531,-587.517468874969,-583.1855849158866,-589.1320302525778,48,51,-1.7414017785805656,-1.3647858457576738,0.5474038438215872,0.7835075291712625,0.6013166476222187,0.7342150376262842,1.189441209665069,1.073904769433489,0.6849262769352015,0.8597594390923803,0.9571370276679352,0.9587374931868183,0.03340985862417486,0.023783314472585682,0.16347057484226085,0.8242139441306692,8.527080059051514
hmc_dn,markov-null,500,12,52,11,5.723672513208157,-610.9136771839437,-608.0518409273396,37,52,0.0,2.8618362566040787,51,5.684341886080801e-13,-611.1159816483811,-608.1142494499317,-608.028435477568,-608.8606602434043,19,52,-1.1474681481906837,-1.0592590748731028,0.8897778365062172,0.9204752717821801,1.0250830326566713,1.0728156614341786,1.0694088820279624,1.0763618825129615,0.9017200047628952,0.9088108143518622,0.9047162557731202,0.8961686584266436,0.04693501743442764,0.0010552487232153103,0.7583674663989299,0.8661819421335777,4.66458797454834
hmc_dn,markov-null,500,13,30,9,2.8786207588366324,-605.3708872818064,-603.9315769023881,17,12,0.0,1.4394862900556973,5,-1.1368683772161603e-13,-605.3763873136195,-603.9221471139274,-603.9179286118176,-604.0920618043659,10,9,-1.1564152595430386,-1.1557603132745726,1.1103788440076292,1.1117178514256727,0.8869038519524071,0.8870202436852109,0.8908291805816407,0.8899826557709447,0.9112177077586313,0.9128996022364937,0.8914700862156494,0.892067177389162,0.016909014060178158,0.021715932737631498,0.79870441782969,0.48650430219954155,1.651318073272705
hmc_dn,markov-null,500,14,81,11,0.5194269083417566,-601.3070117690203,-601.0472983148494,76,445,0.11636592404113344,0.2597134541708783,444,-3.410605131648481e-13,-602.0605179203645,-600.9977903708287,-600.9815935891818,-601.1576590411945,14,21,-1.2442726874065564,-1.118205809226747,0.7317846524882405,0.5136170660461189,0.8388392382736428,0.8083889901311113,1.3087680500704915,1.4374011796168888,0.7724059211635043,0.6153785852678297,0.920878349662168,0.9072650094981981,0.02615500605329776,0.02582901117966361,0.9788877177514236,0.8327398969204372,29.810897827148438
hmc_dn,markov-null,500,15,47,10,3.378394033628183,-627.1973149542368,-625.5081179374228,49,33,0.3825454588186403,1.6891970168140915,32,-1.1368683772161603e-13,-627.0647402228616,-625.6850593950256,-625.5079333671127,-625.87002055521,14,11,-0.7751402016511459,-0.8124978875303981,1.3500324766549974,1.3234855053393433,1.0118566526850448,0.9946467334935548,0.8691797670313726,0.8778171103256844,0.9100165068510963,0.9077747272046786,0.8950844579008136,0.8962932301566275,0.03548626808970213,0.007194360611148039,0.7811336426007394,0.7910771768091027,3.5397861003875732
hmc_dn,markov-null,500,16,25,7,3.380865935457223,-603.6071872009578,-601.9167542332292,107,106,0.0661331816332904,1.6904329677286114,105,1.0231815394945443e-12,-603.4547186279349,-602.5175385049437,-601.9017126433176,-602.8552340116969,24,16,-1.164945964285356,-1.0002829050299127,0.7063278473326602,0.8985233170259197,0.8186377150686975,0.9061621575320737,1.1799798364854646,1.1315820267676455,0.8853053383329113,0.9154203467401408,0.9157574477176156,0.9098687653440112,0.02011609537187943,0.008784223966239055,0.5444789754174552,0.8552797376499509,7.779533863067627
hmc_dn,markov-null,500,17,43,10,1.349700315950031,-627.7744259388882,-627.0995757809131,42,25,0.0,0.6748501579750155,24,-3.410605131648481e-13,-627.8564221357551,-627.1316133695364,-627.0727765467363,-627.4229334835989,14,12,-1.0419072859565819,-1.0146969264998935,0.9919196312231183,1.0266135591308556,0.8814115175201187,0.8859546337911709,1.3256116139124743,1.3161378493064029,0.7936208528989948,0.8070324310244764,0.9045541382512482,0.8979452678427771,0.023326801279857583,0.021021900383205443,0.9047298486647618,0.663690281264286,3.321640968322754
hmc_dn,markov-null,500,18,18,5,4.465523890364466,-619.9725140402575,-617.7397520950752,57,41,0.058718735006323186,2.2554287793309413,5,-1.1368683772161603e-13,-620.0544254820998,-617.6694118515159,-617.7239005200764,-618.2812764371827,45,49,-1.290347316783941,-1.3076245871742032,1.0098362356453454,0.998960492212714,0.9445126203767689,0.9333954873367851,1.0022559654615928,1.0029812457924736,0.9026352996642072,0.9038244976657724,0.8824056061199956,0.8854190639243997,0.019197357148309637,6.538812182941196e-05,0.7038901525595547,0.7656141517675387,5.0281641483306885
hmc_dn,markov-null,500,19,22,8,4.796705846281611,-639.2002956987559,-636.8019427756151,42,19,0.031759832161014856,2.3983529231408056,18,2.2737367544323206e-13,-639.2196030665989,-636.7708282469533,-636.700497173007,-638.1374463215121,13,13,-1.3279265353423824,-1.324269754445616,0.8113585220720785,0.8134148535151835,0.794792652874331,0.7966581085801607,1.013805002500097,1.0135640987449863,0.8771336807737785,0.8839033108353466,0.9196959862800135,0.9208623096292499,0.020733948954011105,0.013765796396793617,0.8399694021152286,0.28497640709752614,2.280163049697876
hmc_dn,markov-null,500,20,45,10,0.4895269628350434,-608.5217268153973,-608.2769633339798,33,37,0.0,0.2447634814175217,36,-1.1368683772161603e-12,-608.5331091380409,-608.2930481269597,-608.2737548403486,-608.3508288740877,12,10,-1.0401013318176253,-1.0277482229082129,0.9409890282093651,0.9482107318092021,1.0797763534961857,1.0862350633639595,0.8965992319654889,0.8964854630861064,0.9132150985465195,0.9136660300890884,0.8454424558264247,0.8384291064339903,0.02186739598303012,0.02188560019894777,0.8335308434276896,0.7115903192256695,2.844092845916748
hmc_dn,markov-null,500,21,40,6,0.3632188245474026,-559.9046890450097,-559.723079632736,43,20,0.00017684426205732962,0.1816094122737013,19,-1.1368683772161603e-13,-559.9173433321353,-559.7192244551308,-559.7198022102593,-559.7835689762422,13,11,-0.7912205778233126,-0.7896929202434126,1.212933195132213,1.2197242718578973,1.0388244137955014,1.038870484200931,1.165024649152202,1.1630509736557615,0.9422317199544463,0.944025325245303,0.8529945102510107,0.8526571288237795,0.013764150105891406,0.010934382908250457,0.8740942734514987,0.7711877433396019,2.766948938369751
hmc_dn,markov-null,500,22,35,9,2.4656428098403467,-596.1554157659721,-594.9225943610519,53,12,0.0019211666186720322,1.2328214049201733,11,0.0,-596.1919698182778,-594.928111395844,-594.9055792532389,-595.2434354863352,11,11,-1.3771784057313208,-1.3867290499573737,0.29469291412269355,0.29568124683210456,0.5812955537407831,0.5733397293012168,1.2736741081457452,1.2716908125629445,0.8172632269054808,0.8262124522712003,0.944601141184558,0.9448426444330674,0.029856083606302115,0.016109569886824045,0.8998365768945158,0.6442680169638072,3.3489511013031006
hmc_dn,markov-null,500,23,68,8,6.119150612813883,-564.3887391607151,-561.3291638543081,29,107,0.005196447639377766,3.0628328996706387,64,-1.2505552149377763e-12,-565.4052556384418,-563.2889333771318,-561.1748512916948,-563.9338848043644,19,49,-0.7705125720388797,-0.23906800501900233,1.039385964703809,0.10653092743844825,1.0467984184358108,1.4018673424005195,1.0978184585045843,1.358317517168505,0.8773214474500797,0.7824501092559292,0.8105848856662142,0.8319028610896299,0.04164066494511749,0.0003289247543170163,0.7385976353027176,0.9924395960244287,10.668971061706543
hmc_dn,markov-null,500,24,53,10,2.749560115324357,-563.7525333072349,-562.3777532495727,65,42,0.0,1.3747800576621785,41,-4.547473508864641e-13,-563.7647762312155,-562.3968945443249,-562.3545837308642,-563.0298820430442,51,49,-1.1955975943107249,-1.2127652408106169,0.7159190440825973,0.707856684858148,0.7937340003966538,0.788341912970394,1.056190797049649,1.0581507410945095,0.8236444733369361,0.8208087876008054,0.9445494441476977,0.947571960937827,0.0004338873255293967,0.02924533027097126,0.8202867299111763,0.8094054920401073,10.561927795410156
