model,scenario,N,r,M,LR,ll0,ll1,ll_best,n_th0,n_th1,n_true,a_th1,a_thb,a_n*,L0_mle,L1_mle,LR_mle,null_best,alt_best,mle_a0,mle_a1,mle_b0,mle_b1,mle1_mu0,mle1_mu1,mle0_mu0,mle0_mu1,seconds
hmc_dn,markov-null,500,10,31,8.830948208905056,-555.6767016530987,-551.2612275486462,-551.2612275486462,-555.1978680081592,-555.1978680083753,-555.1978680083438,-550.7310362877532,-550.7310362877532,-550.7310362875382,-555.1978680081592,-550.7310362875382,8.933663441241833,th0,n*,0.047929732465239246,0.0019249992416434341,0.9527106066135084,0.2078468449962888,-0.9154210426029488,1.2136744461934605,-0.8143425557161333,1.235254808743353,61.464882135391235
hmc_dn,markov-null,500,11,42,11.724319511849217,-589.6802146055247,-583.8180548496001,-583.816321045297,-588.4188262282792,-588.3547705483214,-588.3547705490547,-583.0422418873105,-583.0422418988293,-583.0422418697816,-588.3547705483214,-583.0422418697816,10.62505735707964,th1,n*,0.032935816756799415,0.023920306605352628,1.235764187789784e-08,0.8294986656033989,-1.391694438580205,0.8252214946348582,-1.405810571001718,0.7802950582944536,205.61553287506104
hmc_dn,markov-null,500,12,52,5.723672513208157,-610.9136771839437,-608.0518409273396,-608.0518409273396,-610.4871620044164,-610.487162004639,-610.4871620041366,-607.5562344161004,-607.5562344161004,-607.5562349212165,-610.4871620041366,-607.5562344161004,5.861855176072368,true,th1,0.048008404485915486,5.125100698970256e-09,0.7586968550732803,0.8756035296459537,-1.1832128236132338,0.9335180686969876,-1.3019752998228544,0.8050700557930658,121.32194590568542
hmc_dn,markov-null,500,13,30,2.8786207588366324,-605.3708872818064,-603.9315769023881,-603.9314009917507,-604.8058186184452,-604.8058186183443,-604.8058186182069,-603.3467280953735,-603.3467280951161,-603.3467280955308,-604.8058186182069,-603.3467280951161,2.918181046181644,true,thb,0.01721306002362182,0.021262525316089815,0.805702638179783,0.45972966773470186,-1.2745170198973927,1.1365958230857927,-1.2772538260078377,1.1316878820339533,54.09574604034424
hmc_dn,markov-null,500,14,81,0.5194269083417566,-601.3070117690203,-601.0472983148494,-601.0472983148494,-600.8768537427032,-601.0721513343144,-600.8768537426675,-600.1586237588356,-600.1586237588356,-600.5963979819381,-600.8768537426675,-600.1586237588356,1.43645996766395,true,th1,0.029045644018940362,0.025274228364426794,0.9987077895465166,0.8290282066212323,-1.1994330381825962,0.49109523119434706,-1.2518208631940595,0.8364245333087265,128.0544011592865
hmc_dn,markov-null,500,15,47,3.378394033628183,-627.1973149542368,-625.5081179374228,-625.5081179374228,-626.2534031964395,-626.2534031960429,-626.2534031958511,-624.7102779642602,-624.7102779642602,-624.7102779633194,-626.2534031958511,-624.7102779633194,3.086250465063358,true,n*,0.03769142467721075,0.007496349772755068,0.7889956913881226,0.7784941646128645,-1.0121700707661436,1.1581449699957693,-1.0164540070185626,1.1375621210251423,82.36092686653137
hmc_dn,markov-null,500,16,25,3.380865935457223,-603.6071872009578,-601.9167542332292,-601.9167542332292,-603.4090297526685,-603.409029753436,-603.4090297532549,-601.8131051086662,-601.8131051086662,-601.8131051068926,-603.4090297526685,-601.8131051068926,3.191849291551762,th0,n*,0.019345410123968374,0.008821555967178958,0.5280273462710334,0.877676269525634,-0.9469782046164117,0.9587220430074241,-0.9927553931538126,0.8620440639102476,62.510666370391846
hmc_dn,markov-null,500,17,43,1.349700315950031,-627.7744259388882,-627.0995757809131,-627.0995757809131,-627.5303019715003,-627.5303019710399,-627.5303019709498,-626.810926893152,-626.810926893152,-626.810926892894,-627.5303019709498,-626.810926892894,1.4387501561116096,true,n*,0.02515022994904717,0.02006766301278029,0.924729147035358,0.6267778028856634,-1.0290946635844642,0.966599666616145,-1.059757524945538,0.9569462587225414,57.056379079818726
hmc_dn,markov-null,500,18,18,4.465523890364466,-619.9725140402575,-617.7397520950752,-617.7170852609265,-619.7475463924112,-619.7475463925937,-619.7475463924118,-617.486694715773,-617.486694723014,-617.4866946063225,-619.7475463924112,-617.4866946063225,4.52170357217733,th0,n*,0.018362809009950656,7.756431211150729e-11,0.6959147718100966,0.8135959351027635,-1.215423519568742,1.0930167278934881,-1.1933731873099886,1.0942354551743634,85.70942425727844
hmc_dn,markov-null,500,19,22,4.796705846281611,-639.2002956987559,-636.8019427756151,-636.8019427756151,-638.9349878450331,-638.9349878447632,-638.934987844206,-636.4083709847432,-636.4083709847432,-636.408370985482,-638.934987844206,-636.4083709847432,5.0532337189256396,true,th1,0.020558852125760096,0.013733397463041787,0.8557561847767431,0.19039926799275173,-1.3098105657159318,0.9261529843371682,-1.3020705315726018,0.9204955750319251,54.53151273727417
