case,N,r,M,rates0_c0,rates1_c0,rates0_c0.1,rates1_c0.1,rates0_c1,rates1_c1,rates0_c10,rates1_c10,onset0_c0,onset1_c0,persistence0_c0,persistence1_c0,onset0_c0.1,onset1_c0.1,persistence0_c0.1,persistence1_c0.1,onset0_c1,onset1_c1,persistence0_c1,persistence1_c1,onset0_c10,onset1_c10,persistence0_c10,persistence1_c10
"state-(0.02,0.3)",500,56,87,0.02143486098277445,0.30155265458737457,0.021517064619842263,0.30153573613999907,0.02223462503353479,0.3010283928033253,0.02895007743649753,0.296348294787711,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,57,83,0.002413971905194781,0.284325150896323,0.002668819981244353,0.2842813469680239,0.0043581389958475955,0.28388171504789983,0.014631457213997667,0.2798921918213293,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,58,88,0.003294949124356439,0.32482732240200096,0.0034276631460946464,0.3247446828655959,0.004512531944565859,0.3240275182192545,0.012638075935659167,0.31822239080428083,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,59,89,0.028283237972398876,0.29408530467429495,0.028366585118231778,0.294037569106111,0.029110226447012732,0.293610679222756,0.036042150191921474,0.2895390875099749,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,60,82,0.01038892961519087,0.25735291859542175,0.010532811914401531,0.2573066041909971,0.012004811773170535,0.25687076925121566,0.02266389401069661,0.25323330756354234,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,61,100,0.01377151454566496,0.2856561119129459,0.01398770860892798,0.2856195136742993,0.016031550721945537,0.2851130160370993,0.030827319239229066,0.28136834765669544,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,62,93,0.019312708449986518,0.32268633498727534,0.0194226354886284,0.3226209635283559,0.020412763166731955,0.32203106960891986,0.029011830309027924,0.31657592456755623,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,63,58,0.029928913195318162,0.26649804826370355,0.029970274741574283,0.2664003431353177,0.03033881587779941,0.2655275858018308,0.033719862368550776,0.25738856106180313,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,64,88,0.00875796525742211,0.29252472417538306,0.008867915896057718,0.29246967395100193,0.009832012586405895,0.29198600712712475,0.018207087438983333,0.2875259107258951,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,65,86,0.03010654344747887,0.27187506891908453,0.030186956166864023,0.27183533724571035,0.03090546604812945,0.27147959113545117,0.0376306955186665,0.2680870778556812,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,66,66,0.0011705718314675743,0.2542840558222378,0.0014812731617646667,0.2541989897587383,0.0030931140152033383,0.25357920706993553,0.01045337844013732,0.24860382835520217,,,,,,,,,,,,,,,,
