kind,N,r,M,pi0_c0,iters_c0,reach_c0,ll_c0,pi0_c1,iters_c1,reach_c1,ll_c1,pi0_common,ll_common,pi0_first,pi1_first,pi0,pi1,common,iters
common-markov-states,500,0,79,,,,,,,,,,,0.07592380142751821,0.28288311542377137,0.050456452632112854,0.3115104075983246,0.158,10
common-markov-states,500,1,91,,,,,,,,,,,0.056454227708058496,0.2652925785477,0.027363141816657936,0.27813968378462783,0.182,13
common-markov-states,500,2,83,,,,,,,,,,,0.06416556217179081,0.28007976415381247,0.016613473598825656,0.3052462069101397,0.166,18
common-markov-states,500,3,76,,,,,,,,,,,0.04420282197360042,0.28587071085664434,0.011656586953425311,0.3161845867853032,0.152,17
common-markov-states,500,4,62,,,,,,,,,,,0.0443415534294435,0.2690763116367135,0.01858899666410211,0.30493388291990053,0.124,10
common-markov-states,500,5,82,,,,,,,,,,,0.08222505653359446,0.2755520696006713,0.02323427104770021,0.3338686270003143,0.164,12
common-markov-states,500,6,70,,,,,,,,,,,0.03639821873433941,0.2654977037750548,0.005378998018026863,0.28834366666328,0.14,16
common-markov-states,500,7,48,,,,,,,,,,,0.038522011830292954,0.23016858198735698,0.015743835816227122,0.2692515985097308,0.096,27
common-markov-states,500,8,69,,,,,,,,,,,0.06526957497559993,0.19781819533678965,0.0026217876136292277,0.2244803201854109,0.138,31
common-markov-states,500,9,71,,,,,,,,,,,0.027509382594088472,0.31470923396488204,0.013859560799681916,0.33078680110632896,0.142,8
common-markov-states,500,10,87,,,,,,,,,,,0.06273623592403046,0.3087343008730323,0.030409912483537374,0.3379399941554956,0.174,11
common-markov-states,500,11,80,,,,,,,,,,,0.043863106593922487,0.2710162143999227,0.009115468684171103,0.3012121129295011,0.16,18
common-markov-states,500,12,87,,,,,,,,,,,0.04517482900968553,0.26965153085924426,0.011584482263616079,0.28673264315272895,0.174,15
common-markov-states,500,13,71,,,,,,,,,,,0.054850159345132155,0.261314199959979,0.027337433485279863,0.27726899095972574,0.142,9
common-markov-states,500,14,73,,,,,,,,,,,0.0354932924473617,0.2665707087446029,0.01158701780974768,0.28445397145341933,0.146,12
common-markov-states,500,15,73,,,,,,,,,,,0.041555789234841954,0.24657736591921964,0.012772004776142277,0.2672153457993861,0.146,9
common-markov-states,500,16,44,,,,,,,,,,,0.02936441019645289,0.22517294276596544,0.013236075373230584,0.25414520976938176,0.088,8
common-markov-states,500,17,76,,,,,,,,,,,0.06361138254899931,0.2522471202521271,0.018214331785482506,0.2819488607163055,0.152,14
common-markov-states,500,18,71,,,,,,,,,,,0.03395649165491303,0.25854330832431216,0.0118128514997962,0.2746986369874619,0.142,11
common-markov-states,500,19,65,,,,,,,,,,,0.04232868980639486,0.24173016462341124,0.021818957992528757,0.27277050154531274,0.13,14
common-markov-states,500,20,84,,,,,,,,,,,0.06224319769529306,0.2654638255308615,0.03127358977810074,0.29204325653860064,0.168,10
common-markov-states,500,21,87,,,,,,,,,,,0.07600888144719546,0.2859539872034878,0.03600343163240442,0.30698285381776985,0.174,14
common-markov-states,500,22,55,,,,,,,,,,,0.029936883893516727,0.27619619974289233,0.011880700855438102,0.30735642848264266,0.11,7
common-markov-states,500,23,67,,,,,,,,,,,0.03641787596954809,0.25569109133418827,0.011337401065430117,0.2760082578925636,0.134,10
common-markov-states,500,24,99,,,,,,,,,,,0.06575633280569998,0.32638573312129293,0.010877276332712594,0.3551773610840735,0.198,14
common-markov-states,500,25,70,,,,,,,,,,,0.03594875372654189,0.32272654914228105,0.012893325027292513,0.347121473673476,0.14,10
common-markov-states,500,26,80,,,,,,,,,,,0.07610363404476628,0.2624452060934099,0.030115801667289523,0.2946858707363368,0.16,14
common-markov-states,500,27,97,,,,,,,,,,,0.05089282110145487,0.291901883642496,0.017652315824763228,0.30425198584503343,0.194,9
common-markov-states,500,28,105,,,,,,,,,,,0.07282777856194987,0.2740199677129304,0.03786538519441434,0.28866510480419216,0.21,12
common-markov-states,500,29,68,,,,,,,,,,,0.0551866282745889,0.22519106589143775,0.02543885808951445,0.25069471584876185,0.136,13
common-markov-states,500,30,76,,,,,,,,,,,0.04387473015668203,0.24383972385734926,0.02682986981575482,0.2581170943151986,0.152,13
common-markov-states,500,31,100,,,,,,,,,,,0.07184928198947375,0.3215253581705649,0.04054229144846083,0.339898276981984,0.2,9
common-markov-states,500,32,69,,,,,,,,,,,0.03765191252726567,0.24705149342853425,0.014783378800041562,0.2674629252456043,0.138,14
common-markov-states,500,33,72,,,,,,,,,,,0.04278875870083917,0.2596456644359777,0.022618916292931963,0.279884124154742,0.144,9
common-markov-states,500,34,71,,,,,,,,,,,0.03309374011379872,0.3185521379912773,0.005500818514398557,0.35698198856234836,0.142,16
common-markov-states,500,35,90,,,,,,,,,,,0.07020287924382054,0.28798161926533894,0.0432803131302569,0.31111310914701507,0.18,13
common-markov-states,500,36,105,,,,,,,,,,,0.07544528753156501,0.2996093671705168,0.03641068016420619,0.3213167248023364,0.21,25
common-markov-states,500,37,81,,,,,,,,,,,0.06120215595289856,0.2736494191677134,0.02772449943148437,0.2949856101974904,0.162,11
common-markov-states,500,38,108,,,,,,,,,,,0.07943231610150892,0.3140449579979489,0.03328466679017955,0.3347245476318036,0.216,17
common-markov-states,500,39,102,,,,,,,,,,,0.07107256412760173,0.2910149973709011,0.0017782397086659445,0.3113614050821519,0.204,15
common-markov-states,500,40,62,,,,,,,,,,,0.051741998486017585,0.24519646346217128,0.03176823786631475,0.26394646775572134,0.124,14
common-markov-states,500,41,72,,,,,,,,,,,0.04303591315900726,0.282837484991053,0.015777919696612505,0.3018431628742341,0.144,14
common-markov-states,500,42,74,,,,,,,,,,,0.04889334950207609,0.260847764818629,0.01033553078472651,0.2900949691704838,0.148,16
common-markov-states,500,43,80,,,,,,,,,,,0.06250768670873458,0.25466848559359123,0.043756017552948605,0.2716001858852432,0.16,13
common-markov-states,500,44,76,,,,,,,,,,,0.06276966302081781,0.24236534830281367,0.018673136894430013,0.27691801763594,0.152,15
common-markov-states,500,45,108,,,,,,,,,,,0.06275626060573804,0.3104306668409389,0.016573386232201306,0.3290108596362016,0.216,15
common-markov-states,500,46,71,,,,,,,,,,,0.043477981989913594,0.27829506043938346,0.01371324241013983,0.30374309260739274,0.142,12
common-markov-states,500,47,118,,,,,,,,,,,0.0998542424381553,0.3040793347661673,0.022134060575488668,0.3200851403223472,0.236,15
common-markov-states,500,48,64,,,,,,,,,,,0.037706086884375795,0.2806069177354456,0.008695713056723607,0.3166289782658147,0.128,21
common-markov-states,500,49,58,,,,,,,,,,,0.02830697886992599,0.2674152686891532,0.015438051580883322,0.2900150674758436,0.116,8
common-markov-states,2000,0,336,,,,,,,,,,,0.048926902977569214,0.2621610685833997,0.017743824263818767,0.2824713176902153,0.168,10
common-markov-states,2000,1,316,,,,,,,,,,,0.054220752553407636,0.2797981767339076,0.01792234084422573,0.30446654930888195,0.158,13
common-markov-states,2000,2,360,,,,,,,,,,,0.06496499703537739,0.3071711030534319,0.027841343389686718,0.332162464692051,0.18,11
common-markov-states,2000,3,313,,,,,,,,,,,0.048973555147929324,0.2658813983722322,0.01701098783511495,0.28953248145459315,0.1565,11
common-markov-states,2000,4,333,,,,,,,,,,,0.05196792922905062,0.306874885532581,0.024743014988768373,0.3320608658478517,0.1665,9
common-markov-states,2000,5,355,,,,,,,,,,,0.06204313882473776,0.25967296634739784,0.017270640543257245,0.27774203707239226,0.1775,13
common-markov-states,2000,6,294,,,,,,,,,,,0.05496909795906885,0.26848379972830666,0.01154202161966395,0.30346553948959637,0.147,16
common-markov-states,2000,7,305,,,,,,,,,,,0.05245556291721988,0.27737483771425037,0.02200969833482713,0.30162285103215497,0.1525,10
common-markov-states,2000,8,271,,,,,,,,,,,0.0629057437289644,0.23784069128198077,0.026611211624847954,0.2707039965017235,0.1355,14
common-markov-states,2000,9,304,,,,,,,,,,,0.057970407148077406,0.2703822511060063,0.02385228621109127,0.3018070034607677,0.152,13
common-markov-states,2000,10,370,,,,,,,,,,,0.06256640956896113,0.29381601004704544,0.02775014750290853,0.3152762875302581,0.185,9
common-markov-states,2000,11,260,,,,,,,,,,,0.05088229153939215,0.25185166084803257,0.01674876558201499,0.28425986759626315,0.13,11
common-markov-states,2000,12,307,,,,,,,,,,,0.05494624028978189,0.2715578499703386,0.014249355524031008,0.29801244868439586,0.1535,12
common-markov-states,2000,13,326,,,,,,,,,,,0.0637767313212488,0.2732794039687589,0.022442273385646992,0.30225189558302545,0.163,12
common-markov-states,2000,14,282,,,,,,,,,,,0.04298157565997331,0.2858056522362975,0.015790012408089794,0.3143601527791755,0.141,11
common-markov-states,2000,15,312,,,,,,,,,,,0.05768478073260628,0.2532035794919012,0.02370998726114877,0.2807407271678838,0.156,12
common-markov-states,2000,16,297,,,,,,,,,,,0.053012177174455756,0.27669608187000316,0.01764554972077044,0.3097416133213309,0.1485,12
common-markov-states,2000,17,350,,,,,,,,,,,0.04363923044340939,0.29512567928894123,0.01297551000576682,0.319500141828771,0.175,10
common-markov-states,2000,18,296,,,,,,,,,,,0.0559091410465115,0.2489431516808743,0.025468869953789317,0.2707385856122125,0.148,11
common-markov-states,2000,19,370,,,,,,,,,,,0.06852450746309753,0.3082871332620076,0.02424761240855528,0.3352851926770033,0.185,12
common-markov-states,2000,20,365,,,,,,,,,,,0.05082056999516672,0.3006296664407812,0.012275843470868828,0.32029189303425937,0.1825,11
common-markov-states,2000,21,320,,,,,,,,,,,0.0457402976979267,0.26963221248222213,0.013591203527209791,0.29306020794862075,0.16,14
common-markov-states,2000,22,290,,,,,,,,,,,0.04925775525893979,0.2719241401553198,0.019577102501437616,0.29497361823498364,0.145,10
common-markov-states,2000,23,342,,,,,,,,,,,0.05092506604660206,0.28992879113575054,0.01951993908880149,0.31497739636587624,0.171,12
