model,scenario,N,r,B,LR,p_asym,p_boot,B_valid,seconds
hmc_in,state-null,500,87,99,0.5676178974313189,0.45120705617305934,0.44,99,11.802221775054932
hmc_in,state-null,500,88,99,0.49055213048518453,0.48368111503134437,0.54,99,13.51496696472168
hmc_in,state-null,500,89,99,0.06609234132679376,0.797113691077922,0.8,99,15.02297306060791
hmc_in,state-null,500,90,99,0.8128938741085676,0.3672660567699273,0.45,99,12.802746772766113
hmc_in,state-null,500,91,99,0.2632438945040576,0.6079002634682322,0.63,99,12.6093111038208
hmc_in,state-null,500,92,99,0.2856904715822566,0.5929955060934178,0.62,99,13.512458086013794
hmc_in,state-null,500,93,99,0.5122111930593292,0.4741832110594739,0.55,99,13.415175914764404
hmc_in,state-null,500,94,99,0.4001138051792168,0.5270304889945483,0.48,99,13.938009023666382
hmc_in,state-null,500,95,99,1.2512291241066578,0.26331785103753663,0.39,99,12.959742069244385
hmc_in,state-null,500,96,99,0.7575630734929746,0.3840922301221553,0.35,99,15.234684228897095
hmc_in,state-null,500,97,99,3.363119994594854,0.06667164140394559,0.1,99,12.277918815612793
hmc_in,state-null,500,98,99,0.015513670903828825,0.9008767364161283,0.91,99,13.142836093902588
hmc_in,state-null,500,99,99,0.0631360410166053,0.8016062475468844,0.8,99,15.859418153762817
hmc_in,state-null,500,100,99,1.6503794377279064,0.19890729546051011,0.19,99,14.178515195846558
hmc_in,state-null,500,101,99,0.15616023837446846,0.6927165820389103,0.69,99,13.030827045440674
hmc_in,state-null,500,102,99,0.059227916042800643,0.8077204382217813,0.81,99,15.0262930393219
hmc_in,state-null,500,103,99,1.1752343752389152,0.27832832182148504,0.26,99,13.78935694694519
hmc_in,state-null,500,104,99,1.1189414430380111,0.2901465028398521,0.26,99,11.638076066970825
hmc_in,state-null,500,105,99,0.19102206560182822,0.6620673191823637,0.66,99,14.592112064361572
hmc_in,state-null,500,106,99,0.31439450456377926,0.5749959782975986,0.63,99,15.200872898101807
hmc_in,state-null,500,107,99,0.001290871620994949,0.971339209821751,0.95,99,15.44764494895935
hmc_in,state-null,500,108,99,0.17502199707814725,0.6756866293291437,0.63,99,14.602638006210327
hmc_in,state-null,500,109,99,2.6406350935194496,0.1041618970813064,0.12,99,13.269814014434814
hmc_in,state-null,500,110,99,0.004913300449970848,0.9441180950221691,0.95,99,13.201562881469727
hmc_in,state-null,500,111,99,0.31015729048021967,0.5775836816647515,0.58,99,15.915874004364014
hmc_in,state-null,500,112,99,5.446893513350915,0.019603154673473865,0.02,99,18.15050983428955
hmc_in,state-null,500,113,99,1.624329372914417,0.20248917347572026,0.17,99,13.814404964447021
hmc_in,state-null,500,114,99,0.22101800522182202,0.6382653418584456,0.68,99,13.608473062515259
hmc_in,state-null,500,115,99,0.1831139887522113,0.6687106736181955,0.74,99,16.28226590156555
hmc_in,state-null,500,116,99,2.0829798500103607,0.14894915310525775,0.19,99,13.746866941452026
hmc_in,state-null,500,117,99,0.46938948776369216,0.4932681668518647,0.51,99,13.262237071990967
hmc_in,state-null,500,118,99,0.03138110328291077,0.8593928281849926,0.86,99,16.975434064865112
hmc_in,state-null,500,119,99,0.04449415450494598,0.8329369191327485,0.84,99,13.343855857849121
hmc_in,state-null,500,120,99,0.0026100408467755187,0.9592549527923548,0.94,99,15.32911205291748
hmc_in,state-null,500,121,99,0.07897404230288885,0.7786926009581957,0.73,99,17.349446058273315
hmc_in,state-null,500,122,99,1.8474051372145368,0.1740854941121833,0.18,99,15.05629301071167
hmc_in,state-null,500,123,99,1.0279355019019931,0.3106440525846537,0.38,99,13.137671709060669
hmc_in,state-null,500,124,99,0.3009263011203984,0.5833022951293241,0.58,99,15.240309953689575
hmc_in,state-null,500,125,99,0.3711309837508452,0.5423884296421115,0.64,99,18.040035009384155
hmc_in,state-null,500,126,99,1.489299372473397,0.22232519797815767,0.24,99,15.887672185897827
hmc_in,state-null,500,127,99,0.5589937990960152,0.4546659404892155,0.51,99,14.898886919021606
hmc_in,state-null,500,128,99,0.8899704908064905,0.3454853047400144,0.45,99,16.594505071640015
hmc_in,state-null,500,129,99,3.419428719540292,0.06443330699548531,0.09,99,21.408946990966797
hmc_in,state-null,500,130,99,0.25913074733011854,0.6107179728122977,0.62,99,13.978302001953125
hmc_in,state-null,500,131,99,0.20950853183489926,0.6471528846551473,0.65,99,14.091618061065674
hmc_in,state-null,500,132,99,0.0034727315035070205,0.9530079535558914,0.96,99,16.212304830551147
hmc_in,state-null,500,133,99,0.0025991330510350963,0.9593401082117291,0.96,99,12.929840803146362
hmc_in,state-null,500,134,99,1.1159202131238999e-05,0.9973346403066295,1.0,99,13.57029104232788
hmc_in,state-null,500,135,99,1.8907956801479031,0.16911220412781805,0.12,99,13.91171407699585
hmc_in,state-null,500,136,99,0.03194576613373101,0.8581467392146951,0.85,99,12.927260875701904
hmc_in,state-null,500,137,99,0.06166524627110448,0.8038830499276957,0.76,99,16.45720911026001
hmc_in,state-null,500,138,99,0.044439709754897194,0.8330376567419848,0.8,99,14.438837051391602
hmc_in,state-null,500,139,99,0.036194153957922026,0.8491151031987262,0.87,99,14.562806129455566
hmc_in,state-null,500,140,99,0.015255667485462254,0.9017002192733334,0.9,99,16.618643045425415
hmc_in,state-null,500,141,99,0.0439994908317658,0.833854559924499,0.76,99,13.460767030715942
hmc_in,state-null,500,142,99,0.1983087506055199,0.6560894509244795,0.71,99,15.120630025863647
hmc_in,state-null,500,143,99,0.026521259340142933,0.8706337911257778,0.83,99,14.32809329032898
