mote,method,family,K,sequential,alpha,correction,threshold,seconds,gap_nodes,log_lik,quad_error,quad_limit,quad_warnings,quad_error_max_warned,other_warnings,other_warning_kinds,n_obs,n_suspect,n_flag,recall,precision,recall_rise,flag_climb,n_climb,flag_ambig,n_ambig,flag_normal,n_normal,flag_post,precision_ext,recall_ext,fa_per_1000,fa_episodes,fa_episodes_per_day,lead_first_h,lead_24h_h,lead_episode_h
48,HMC-IN seq α=0.0001,HMC-IN,3.0,True,0.0001,none,0.0001,1.9503535830008332,64.0,-43596.87419903975,,,0.0,,0.0,,32838,2354,3506,1.0,0.6714204221334854,1.0,182,182,6,850,960,29448,4,0.7233314318311466,1.0,32.59983700081499,3,0.19972850541870785,275.32126531561977,12.633544349490876,12.633544349490876
48,HMC-IN nonseq α=0.01,HMC-IN,3.0,False,0.01,none,0.01,1.0805859081970994,64.0,-6240535.768236997,,,0.0,,0.0,,32838,2354,4117,1.0,0.5717755647316006,1.0,182,182,37,850,1540,29448,4,0.6159825115375274,1.0,52.29557185547406,5,0.3328808423645131,327.830475702257,14.825247623841866,14.825247623841866
48,HMC-IN nonseq α=0.001,HMC-IN,3.0,False,0.001,none,0.001,1.0805859081970994,64.0,-6240535.768236997,,,0.0,,0.0,,32838,2354,3826,1.0,0.6152639832723471,1.0,182,182,15,850,1271,29448,4,0.6628332462101412,1.0,43.16082586253735,3,0.19972850541870785,275.9879431177037,13.433557711991618,13.433557711991618
48,HMC-IN nonseq α=0.0001,HMC-IN,3.0,False,0.0001,none,0.0001,1.0805859081970994,64.0,-6240535.768236997,,,0.0,,0.0,,32838,2354,3495,1.0,0.6735336194563663,1.0,182,182,6,850,949,29448,4,0.7256080114449213,1.0,32.22629720184732,3,0.19972850541870785,275.32126531561977,12.633544349490876,12.633544349490876
48,HMC-IN nonseq BH α=0.01,HMC-IN,3.0,False,0.01,bh,0.0011705950423290092,1.0805859081970994,64.0,-6240535.768236997,,,0.0,,0.0,,32838,2354,3844,1.0,0.6123829344432883,1.0,182,182,19,850,1285,29448,4,0.659729448491155,1.0,43.63624015213257,3,0.19972850541870785,276.03794395286,14.025234261341124,14.025234261341124
48,HMC-IN nonseq BH α=0.001,HMC-IN,3.0,False,0.001,bh,0.0001066447408490164,1.0805859081970994,64.0,-6240535.768236997,,,0.0,,0.0,,32838,2354,3502,1.0,0.6721873215305539,1.0,182,182,6,850,956,29448,4,0.7241576242147344,1.0,32.464004346644934,3,0.19972850541870785,275.3379322606719,12.633544349490876,12.633544349490876
48,"threshold 60 °C (suspect rule, T)",threshold,,,60.0,,60.0,0.08197304172790609,,,,,,,,,32838,2354,2354,1.0,1.0,1.0,0,182,0,850,0,29448,0,1.0,0.9282334384858044,0.0,0,0.0,0.0,0.0,0.0
48,threshold 35 °C,threshold,,,35.0,,35.0,0.08197304172790609,,,,,,,,,32838,2354,2438,1.0,0.9655455291222313,1.0,80,182,0,850,0,29448,4,0.9983593109105825,0.9597791798107256,0.0,0,0.0,5.291755054041364,5.291755054041364,5.291755054041364
48,threshold 40 °C,threshold,,,40.0,,40.0,0.08197304172790609,,,,,,,,,32838,2354,2421,1.0,0.9723254853366378,1.0,63,182,0,850,0,29448,4,0.9983477901693515,0.9530757097791798,0.0,0,0.0,3.516725405992843,3.516725405992843,3.516725405992843
48,threshold 50 °C,threshold,,,50.0,,50.0,0.08197304172790609,,,,,,,,,32838,2354,2390,1.0,0.9849372384937238,1.0,32,182,0,850,0,29448,4,0.998326359832636,0.9408517350157729,0.0,0,0.0,1.5416924173191373,1.5416924173191373,1.5416924173191373
48,clean envelope ±2 °C,envelope,,,2.0,,2.0,0.08197304172790609,,,,,,,,,32838,2354,2572,1.0,0.9152410575427683,1.0,160,182,0,850,54,29448,4,0.9774494556765163,0.9913249211356467,1.8337408312958434,1,0.06657616847290261,273.15456245884695,10.566843163030628,10.566843163030628
48,Hampel t=3,hampel,,,3.0,,3.0,0.08197304172790609,,,,,,,,,32838,2354,78,0.0016992353440951572,0.05128205128205128,0.03333333333333333,1,182,29,850,44,29448,0,0.0641025641025641,0.001971608832807571,1.4941591958706872,25,1.6644042118225655,376.49795525438543,23.37539043556854,0.0
48,Hampel t=4,hampel,,,4.0,,4.0,0.08197304172790609,,,,,,,,,32838,2354,42,0.0008496176720475786,0.047619047619047616,0.016666666666666666,1,182,20,850,19,29448,0,0.07142857142857142,0.0011829652996845426,0.6452051073077968,15,0.9986425270935392,370.84786088172393,23.37539043556854,-0.008333472526049391
48,Hampel t=5,hampel,,,5.0,,5.0,0.08197304172790609,,,,,,,,,32838,2354,25,0.0004248088360237893,0.04,0.008333333333333333,1,182,16,850,7,29448,0,0.08,0.0007886435331230284,0.23770714479760935,5,0.3328808423645131,243.51240068368924,23.37539043556854,-0.008333472526049391
48,robust z 24 h t=3,robust_z,,,3.0,,3.0,0.08197304172790609,,,,,,,,,32838,2354,1576,0.05734919286321156,0.08565989847715735,1.0,182,182,55,850,1200,29448,4,0.20114213197969544,0.125,40.74979625101874,6,0.3994570108374157,378.0729815618088,17.066951733349153,17.066951733349153
48,robust z 24 h t=4,robust_z,,,4.0,,4.0,0.08197304172790609,,,,,,,,,32838,2354,916,0.04970263381478335,0.1277292576419214,0.9666666666666667,182,182,26,850,587,29448,4,0.32641921397379914,0.11790220820189275,19.93344199945667,5,0.3328808423645131,377.98131336402224,14.200237184388161,14.200237184388161
48,robust z 24 h t=5,robust_z,,,5.0,,5.0,0.08197304172790609,,,,,,,,,32838,2354,560,0.04970263381478335,0.20892857142857144,0.9666666666666667,175,182,0,850,264,29448,4,0.5214285714285715,0.11514195583596215,8.964955175224123,4,0.26630467389161044,377.84797780360543,11.61686070131285,11.61686070131285
22,PMC seq BH α=0.01,PMC,3.0,True,0.01,bh,0.001522725277298136,923.8469357500144,64.0,62315.039493268916,,,0.0,,0.0,,34169,4816,5203,1.0,0.9256198347107438,1.0,209,623,11,1786,160,26937,7,0.9657889679031328,0.9238830667402096,5.939785425251513,19,1.365791883491803,351.83087657727924,23.09205236968286,2.091701604038397
22,PMC seq BH α=0.001,PMC,3.0,True,0.001,bh,0.00014565834528373675,494.106427916995,64.0,61769.73407383629,,,0.0,,0.0,,34169,4816,4977,1.0,0.9676511954992968,1.0,149,623,5,1786,0,26937,7,0.997588908981314,0.9128516271373415,0.0,0,0.0,17.291955491552486,17.291955491552486,1.4583576920586434
22,PMC seq α=0.01,PMC,3.0,True,0.01,none,0.01,365.72814041699166,64.0,62643.89394346387,,,0.0,,0.0,,34169,4816,6320,1.0,0.7620253164556962,1.0,267,623,57,1786,1173,26937,7,0.8042721518987341,0.9345467916896488,43.546051898875156,56,4.025491867133735,351.8392100498053,23.76706364429286,2.5500425929711135
