mote,method,gap_nodes,window_hi,n_differ_from_default,same_as_main_run,seconds,log_lik,quad_error,quad_limit,quad_warnings,quad_error_max_warned,n_obs,n_suspect,n_flag,recall,precision,recall_rise,flag_climb,n_climb,flag_ambig,n_ambig,flag_normal,n_normal,flag_post,precision_ext,recall_ext,fa_per_1000,fa_episodes,fa_episodes_per_day,lead_first_h,lead_24h_h,lead_episode_h
22,PMC seq BH α=0.001,64,72466,0,,141.0212728339975,61454.36416516701,,,0,,29742,389,523,1.0,0.7437858508604207,1.0,127,623,0,1786,0,26937,7,0.9866156787762906,0.5098814229249012,0.0,0,0.0,1.150019208594816,1.150019208594816,1.150019208594816
22,PMC seq BH α=0.001,256,72466,0,,856.9815890830032,61452.00338012303,,,0,,29742,389,523,1.0,0.7437858508604207,1.0,127,623,0,1786,0,26937,7,0.9866156787762906,0.5098814229249012,0.0,0,0.0,1.150019208594816,1.150019208594816,1.150019208594816
22,PMC seq α=0.001,64,72466,0,True,26.147781875002693,62158.44410417767,,,0,,29742,389,704,1.0,0.5525568181818182,1.0,193,623,9,1786,106,26937,7,0.8267045454545454,0.575098814229249,3.9351078442291274,9,0.6469540500750647,351.83087657727924,17.7836303705894,2.091701604038397
22,PMC seq α=0.001,256,72466,1,,446.1062427079996,62159.899744008806,,,0,,29742,389,703,1.0,0.5533428165007113,1.0,193,623,9,1786,105,26937,7,0.8278805120910384,0.575098814229249,3.897984185321305,9,0.6469540500750647,351.83087657727924,17.7836303705894,2.091701604038397
47,PMC nonseq BH α=0.001,64,75174,0,,13.69716884160007,8427.232179301804,6320.094764169765,0.05,0,,30112,128,137,0.359375,0.3357664233576642,0.39316239316239315,87,401,4,925,0,28658,0,0.9708029197080292,0.2514177693761815,0.0,0,0.0,15.18358694246199,15.18358694246199,3.475058043362596
47,PMC nonseq BH α=0.001,256,75174,94,,208.33774903340017,12383.221054568425,3432.110222957448,0.05,0,,30112,128,45,0.0,0.0,0.0,42,401,3,925,0,28658,0,0.9333333333333333,0.07939508506616257,0.0,0,0.0,15.18358694246199,15.18358694246199,
47,PMC nonseq BH α=0.01,64,75174,0,,13.69716884160007,8427.232179301804,6320.094764169765,0.05,0,,30112,128,152,0.359375,0.3026315789473684,0.39316239316239315,98,401,7,925,1,28658,0,0.9473684210526315,0.2722117202268431,0.03489427036080676,1,0.06733107090456178,38.400641400035596,15.18358694246199,3.475058043362596
47,PMC nonseq BH α=0.01,256,75174,97,,208.33774903340017,12383.221054568425,3432.110222957448,0.05,0,,30112,128,57,0.0,0.0,0.0,52,401,5,925,0,28658,0,0.9122807017543859,0.09829867674858223,0.0,0,0.0,15.18358694246199,15.18358694246199,
47,PMC nonseq α=0.0001,64,75174,0,True,13.69716884160007,8427.232179301804,6320.094764169765,0.05,0,,30112,128,159,0.359375,0.2893081761006289,0.39316239316239315,104,401,8,925,1,28658,0,0.9433962264150944,0.2835538752362949,0.03489427036080676,1,0.06733107090456178,38.400641400035596,16.15860322800977,3.475058043362596
47,PMC nonseq α=0.0001,256,75174,94,,208.33774903340017,12383.221054568425,3432.110222957448,0.05,0,,30112,128,67,0.0,0.0,0.0,58,401,8,925,1,28658,0,0.8656716417910447,0.10964083175803403,0.03489427036080676,1,0.06733107090456178,38.400641400035596,16.15860322800977,
