mote,kind,K,part,n,ks_stat,ks_p,lb_stat,lb_p,lb2_stat,lb2_p,z_mean,z_sd,acf1_z,n_after_gap,z_sd_after_gap,z_sd_after_obs,nonseq_after_gap_0.001,log_lik_days_1_10,gap_nodes,pit_seconds,nonseq_0.01,nonseq_0.001,nonseq_0.0001,seq_0.001,quad_error_days_1_10,quad_limit_days_1_10,batch_log_lik_days_1_10,quad_warnings,quad_error_max_warned,quad_limit_warned,other_warnings,other_warning_kinds,check_z_sd_after_gap,check_nonseq_0.001,check_seq_0.001,check_seq_same_rows,check_gap_nodes,check_log_lik_days_1_10,check_quad_error_days_1_10,selected
22,hmc_in,3,held-out,7736,0.23453844436075771,0.0,74996.19821782837,0.0,74146.31322497936,0.0,0.5458587068186513,1.0445126152343773,0.9991639287377171,809,1.0304941574290374,1.0458946276151255,0,-51521.507190507284,64,0.8685220000043046,34,0,0,0,,,-51521.50719050728,0,,,0,,,,,,,,,True
22,hmc_in,3,fit,17702,0.05051225998661418,1.0802745705288544e-39,165088.10538946083,0.0,153905.3743707561,0.0,-0.0274840736783124,0.973512329904457,0.9964418188044563,2100,0.989409259362953,0.9711261342719991,0,-51521.507190507284,64,0.8685220000043046,4,0,0,0,,,-51521.50719050728,0,,,0,,,,,,,,,True
22,pmc_state,2,held-out,7736,0.11752262260404345,1.5034214142746493e-93,2534.322058563008,0.0,3188.6158561198554,0.0,-0.07451186671856022,0.7476187714845414,0.006193289556803953,809,0.7148615346092414,0.7511262540659116,1,58514.65509067608,64,6.990714958010358,13,2,1,363,2.546100308215631,0.05,58514.65509067608,1,2.5,0.05,0,,,,,,,,,False
22,pmc_state,2,fit,17702,0.09019757161675246,9.082533898205741e-126,2950.4649780051805,0.0,3449.737056900547,0.0,-0.1776785299627684,0.9778681774396851,-0.014262976438335642,2100,0.9446339709752682,0.9820713415351041,3,58514.65509067608,64,6.990714958010358,189,12,0,985,2.546100308215631,0.05,58514.65509067608,1,2.5,0.05,0,,,,,,,,,False
22,pmc_state,3,held-out,7736,0.11826179875107423,9.965128471032174e-95,2151.0996699026314,0.0,3103.1541561012423,0.0,-0.07993181372204329,0.7546443320287216,0.011782428190438695,809,0.735153055845386,0.7566708324371237,1,59688.91547694032,64,8.208430291997502,23,2,0,3,1.7220443588889125,0.05,59688.91547694033,1,1.7,0.05,0,,0.7351148953058733,2.0,3.0,True,256.0,59688.879656547135,0.03384658155974594,True
22,pmc_state,3,fit,17702,0.07083748547345592,1.0974847908631755e-77,2533.1759064095013,0.0,1472.936517739129,1.7646800060978e-310,-0.1607766385123365,1.0226540277940035,0.00998626752742493,2100,0.9999441472768817,1.0255737591472252,1,59688.91547694032,64,8.208430291997502,217,20,0,25,1.7220443588889125,0.05,59688.91547694033,1,1.7,0.05,0,,0.9999263681985805,20.0,25.0,True,256.0,59688.879656547135,0.03384658155974594,True
47,hmc_in,2,held-out,7605,0.3001144098470766,0.0,75631.30363535197,0.0,75942.43059702731,0.0,0.8899953083701957,1.4280027269152575,0.9997444347439197,897,1.429274838889285,1.4277260256483206,80,-55486.56989771928,64,1.2937169170036213,923,681,347,687,,,-55486.56989771928,0,,,0,,,,,,,,,False
47,hmc_in,2,fit,17168,0.11517394741929121,7.507133543933509e-199,166274.75400811672,0.0,163061.03957439229,0.0,-0.02312063194389739,0.9866367173761157,0.998151561263281,2497,0.9495779104262947,0.9927699559038905,3,-55486.56989771928,64,1.2937169170036213,301,31,0,31,,,-55486.56989771928,0,,,0,,,,,,,,,False
47,hmc_in,3,held-out,7605,0.14804340734109744,5.947129957125669e-146,74346.1403702155,0.0,75702.61407420872,0.0,0.525090896848742,1.3606386896501486,0.9991512069833564,897,1.36260995825166,1.3602676180054605,46,-40942.503790663344,64,1.1972050839976873,730,384,266,394,,,-40942.503790663344,0,,,0,,,,,,,,,True
47,hmc_in,3,fit,17168,0.058204045046327535,5.362784241334305e-51,157006.71184710914,0.0,146632.70767767853,0.0,-0.019606445362770286,0.9787799902309083,0.9957905681419486,2497,0.9475155154541771,0.9839203467300688,0,-40942.503790663344,64,1.1972050839976873,76,0,0,0,,,-40942.503790663344,0,,,0,,,,,,,,,True
