mote,method,zone,start,start_epoch,hours,n_flags,n_obs,y_min,y_max,median_prev_hour,jump_at_start,gap_before_h
47,PMC seq α=0.001,normal,2004-03-17 15:07,53539,0.050000835156296344,2,6,21.7916,22.1738,21.135,0.2254000000000005,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-17 16:50,53745,1.3250221316418531,22,142,21.7916,25.0158,23.9378,0.23519999999999897,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-18 14:14,56313,2.958382746747534,13,317,20.694,22.9774,21.8994,0.2744,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-19 16:16,59437,1.8916982634132118,26,199,23.0754,25.4764,24.5748,0.1960000000000015,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-20 13:19,61963,3.8417308345087693,310,378,27.75,31.7092,26.6132,0.0882000000000005,0.025000417578148172
47,PMC seq α=0.001,normal,2004-03-23 10:01,70207,0.0,1,1,21.4584,21.4584,21.478,0.382200000000001,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-23 14:58,70800,0.0,1,1,23.9182,23.9182,23.075400000000002,0.21559999999999846,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-23 16:53,71030,0.0,1,1,24.3984,24.3984,24.0162,0.19599999999999795,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-23 18:01,71166,0.025000417578148172,4,4,22.2326,22.8108,22.918599999999998,0.2744,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-23 20:48,71500,0.0,1,1,22.262,22.262,21.919,0.6076000000000015,0.008333472526049391
47,PMC seq α=0.001,ambiguous,2004-03-23 22:23,71691,0.07500125273444452,2,10,21.6936,22.0268,21.7622,0.25479999999999947,0.008333472526049391
47,PMC seq α=0.001,ambiguous,2004-03-24 01:12,72029,0.0,1,1,23.1342,23.1342,22.262,0.7153999999999989,0.008333472526049391
47,PMC seq α=0.001,climb,2004-03-24 02:20,72165,18.91698263413212,557,843,23.1538,59.6,22.889200000000002,0.25479999999999947,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-09 13:36,30316,0.0,1,1,21.3996,21.3996,20.3804,0.48999999999999844,0.008333472526049391
47,PMC nonseq α=0.001,normal,2004-03-09 15:07,30499,1.6916949227880262,7,180,21.625,22.8402,21.184,0.2254000000000005,0.008333472526049391
