study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
hmc_in_gauss_k2,0.05,hmc_in_K2|raw,False,940,1.4274,2.0376,1.1722,0.80283,0.87142,0.48936,0.85957,0.98298,11.248
hmc_in_gauss_k2,0.05,hmc_in_K2|raw,True,50,1.446,2.0908,1.2786,0.8461,0.84632,0.34,0.78,0.98,5.5386
hmc_in_gauss_k2,0.05,hmc_in_K2|robust+gate,False,940,1.4265,2.0348,1.1718,0.80258,0.86973,0.49043,0.85851,0.98298,11.211
hmc_in_gauss_k2,0.05,hmc_in_K2|robust+gate,True,50,1.446,2.0909,1.2787,0.84611,0.84634,0.34,0.78,0.98,5.539
hmc_in_gauss_k2,0.05,hmc_in_K2|robust,False,940,1.4265,2.0348,1.1718,0.80258,0.86973,0.49043,0.85851,0.98298,11.211
hmc_in_gauss_k2,0.05,hmc_in_K2|robust,True,50,1.446,2.0909,1.2787,0.84611,0.84634,0.34,0.78,0.98,5.539
hmc_in_gauss_k2,0.05,hmc_in_K2|hampel+gate,False,940,1.1964,1.4314,0.95917,0.67126,0.67313,0.50213,0.81809,0.94894,4.8682
hmc_in_gauss_k2,0.05,hmc_in_K2|hampel+gate,True,50,1.3437,1.8056,1.0946,0.75392,0.76448,0.46,0.82,0.94,5.0723
hmc_in_gauss_k2,0.05,ar1|raw,False,940,1.3581,1.8445,1.1105,0.83591,0.83591,0.73723,0.97128,1,9.0166
hmc_in_gauss_k2,0.05,ar1|raw,True,50,2.1112,4.4573,1.8104,1.2291,1.2291,0.4,0.8,1,9.0382
hmc_in_gauss_k2,0.05,ar1|raw+gate,False,940,1.3581,1.8445,1.1105,0.83591,0.83591,0.73723,0.97128,1,9.0166
hmc_in_gauss_k2,0.05,ar1|raw+gate,True,50,1.9473,3.792,1.706,1.136,1.136,0.46,0.88,1,9.0701
hmc_in_gauss_k2,0.05,ar1|robust+gate,False,940,1.2498,1.5621,1.0131,0.7082,0.7082,0.49043,0.81809,0.94787,5.0495
hmc_in_gauss_k2,0.05,ar1|robust+gate,True,50,1.4097,1.9874,1.2344,0.81992,0.81992,0.38,0.82,0.96,5.4515
