study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,0,pmc_pair_K3|robust,False,90,0.39622,0.15699,0.26387,0.1998,0.20186,0.45556,0.72222,0.91111,1.3448
mote20,0,ar1|raw,False,212,0.15719,0.024707,0.091905,0.1423,0.1423,0.95755,0.98585,1,2.2282
mote20,0,ar1|raw+gate,False,212,2.3982,5.7515,0.92339,0.89808,0.89808,0.85377,0.87264,0.87264,2.7309
mote20,0,ar1|robust+gate,False,212,5.8733,34.496,5.232,4.9788,4.9788,0.066038,0.084906,0.084906,1.7626
mote20,0,persistence|raw,False,212,0.021048,0.00044303,0.014523,0.010895,,0.58491,0.83019,0.96226,0.1349
aotizhongxin,0,ar1|raw,False,90,0.39655,0.15725,0.26351,0.20618,0.20618,0.64444,0.8,0.9,1.3374
aotizhongxin,0,ar1|raw+gate,False,90,0.56865,0.32336,0.34204,0.27179,0.27179,0.6,0.75556,0.85556,1.3808
aotizhongxin,0,ar1|robust+gate,False,90,0.68525,0.46957,0.37419,0.3131,0.3131,0.51111,0.65556,0.71111,0.91447
aotizhongxin,0,persistence|raw,False,90,0.41009,0.16817,0.26277,0.20972,,0.45556,0.7,0.88889,1.4231
tsnh4,0,ar1|raw,False,93,0.087858,0.007719,0.070281,0.0499,0.0499,0.53763,0.82796,0.98925,0.39161
tsnh4,0,ar1|raw+gate,False,93,0.097797,0.0095642,0.0738,0.052988,0.052988,0.53763,0.8172,0.97849,0.39333
tsnh4,0,ar1|robust+gate,False,93,0.097939,0.009592,0.07394,0.053158,0.053158,0.46237,0.75269,0.90323,0.31273
tsnh4,0,persistence|raw,False,93,0.08823,0.0077845,0.070642,0.050373,,0.4086,0.75269,0.98925,0.35702
aotizhongxin,0.01,ar1|raw,False,269,0.47758,0.22808,0.36358,0.30215,0.30215,0.85502,0.97026,0.98885,3.5403
aotizhongxin,0.01,ar1|raw+gate,False,269,0.47758,0.22808,0.36358,0.30215,0.30215,0.85502,0.97026,0.98885,3.5403
aotizhongxin,0.01,ar1|robust+gate,False,269,0.68607,0.4707,0.37426,0.31324,0.31324,0.51301,0.65799,0.71004,0.91777
