tuple,h,n_origins,theory_pmm,theory_ar1map,one_minus_c2h,emp_pmm,se_pmm,emp_pmc_ar1map,se_pmc_ar1map,mean_pmm_pred_var
generic,6,975,0.9024338803571041,0.9436743342584074,0.986158712799,0.9594821022885712,0.04287819145105579,1.0155694096140584,0.04574828737868271,0.9024338803571044
generic,7,975,0.9253877628510926,0.9638459320806488,0.99321776927151,0.9873777104175182,0.045155897854370484,1.0409520005028179,0.04683412371325674,0.9253877628510927
generic,8,975,0.9428710673571626,0.9770279213994433,0.9966767069430399,1.0269176868306606,0.04625395470344867,1.068463640032579,0.04775581911445009,0.9428710673571624
generic,9,975,0.9562356135311002,0.9855188957859862,0.9983715864020896,0.9570551174322967,0.041731489301213315,0.9836687013405491,0.0419337933943137,0.9562356135311004
generic,10,975,0.9664668012898916,0.9909272550138322,0.9992020773370239,0.9309538367640384,0.04037196383295412,0.9553637234542828,0.04094209618853169,0.9664668012898917
hmm,1,975,0.597511260960623,0.6682239999999998,0.6682239999999998,0.5768980541441182,0.02622067093615227,0.6344196718365931,0.02895615265489422,0.597511260960623
hmm,2,975,0.6739841213781046,0.7660899573759998,0.8899246858239999,0.656732574699024,0.02923619100770827,0.7209727684386718,0.03134689022295213,0.6739841213781048
hmm,3,975,0.7359271383162648,0.8581983384709364,0.9634796525639433,0.7216239897082244,0.035022066646038456,0.8196938729095181,0.03791983115850811,0.7359271383162648
hmm,4,975,0.7861009820361744,0.9196744453434268,0.9878834252090548,0.8066967169367746,0.03587844765227226,0.9261041270589853,0.04124219611226587,0.7861009820361744
hmm,5,975,0.8267417954493013,0.9560979888122471,0.9959800112821594,0.8356272151826204,0.03712071001610931,0.95936130472345,0.04172381141988306,0.8267417954493013
hmm,6,975,0.8596608543139341,0.9764909710257905,0.9986662642231497,0.8738822333122632,0.037934241218458176,0.9935848637504854,0.04311802995073811,0.859660854313934
hmm,7,975,0.8863252919942867,0.9875640122741509,0.9995574984788997,0.8455560779361151,0.03711214156519453,0.9347366743597242,0.04140364717164459,0.8863252919942864
hmm,8,975,0.9079234865153722,0.993470602559046,0.9998531886153355,0.8866116435278673,0.04058418035916044,0.964145128490344,0.0436041186867421,0.9079234865153724
hmm,9,975,0.9254180240774514,0.9965877618387577,0.9999512915060416,0.9104910670233822,0.03906796773017639,0.9641718738947241,0.04160035464969764,0.9254180240774514
hmm,10,975,0.9395885995027357,0.9982220055632355,0.9999838396907085,0.9933617463307515,0.04703206006627388,1.0483210056711556,0.05025279048795921,0.9395885995027359
