study,rate,variant,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,0,clean,hmc_in_K3|raw,17,90,1.0312,1.0634,0.85112,0.59251,0.59042,0.44444,0.77778,0.88889,3.6996
aotizhongxin,0,clean,hmc_in_K3|raw,18,90,1.0434,1.0888,0.86823,0.60153,0.60103,0.41111,0.75556,0.92222,3.7138
aotizhongxin,0,clean,hmc_in_K3|raw,19,90,1.0675,1.1396,0.89988,0.62155,0.62173,0.4,0.73333,0.93333,3.7223
aotizhongxin,0,clean,hmc_in_K3|raw,20,91,1.1174,1.2485,0.95129,0.65318,0.65351,0.35165,0.71429,0.91209,3.7334
aotizhongxin,0,clean,hmc_in_K3|raw,21,90,1.0495,1.1014,0.90885,0.61804,0.61578,0.38889,0.72222,0.96667,3.744
aotizhongxin,0,clean,hmc_in_K3|raw,22,89,1.1719,1.3733,0.98893,0.68944,0.68562,0.33708,0.75281,0.89888,3.7533
aotizhongxin,0,clean,hmc_in_K3|raw,23,88,1.1583,1.3416,0.99604,0.68324,0.6827,0.38636,0.71591,0.90909,3.7592
aotizhongxin,0,clean,hmc_in_K3|raw,24,90,1.2068,1.4563,1.0212,0.70739,0.70704,0.37778,0.72222,0.88889,3.7645
aotizhongxin,0,clean,hmc_in_K3|robust+gate,1,90,0.59084,0.34909,0.47485,0.33375,0.33148,0.41111,0.75556,0.92222,2.3526
aotizhongxin,0,clean,hmc_in_K3|robust+gate,2,89,0.70984,0.50387,0.57235,0.40373,0.40314,0.32584,0.73034,0.91011,2.6408
aotizhongxin,0,clean,hmc_in_K3|robust+gate,3,89,0.80069,0.6411,0.64519,0.4494,0.4532,0.39326,0.68539,0.86517,2.8034
aotizhongxin,0,clean,hmc_in_K3|robust+gate,4,90,0.90233,0.8142,0.74401,0.51283,0.51836,0.34444,0.63333,0.84444,2.925
aotizhongxin,0,clean,hmc_in_K3|robust+gate,5,88,1.0346,1.0703,0.85953,0.59262,0.60147,0.26136,0.61364,0.81818,3.0515
aotizhongxin,0,clean,hmc_in_K3|robust+gate,6,90,1.0879,1.1835,0.90385,0.6249,0.63502,0.26667,0.61111,0.8,3.1296
aotizhongxin,0,clean,hmc_in_K3|robust+gate,7,91,1.1132,1.2393,0.95621,0.65073,0.66218,0.27473,0.57143,0.83516,3.2325
aotizhongxin,0,clean,hmc_in_K3|robust+gate,8,90,1.1538,1.3312,0.97791,0.67269,0.68415,0.27778,0.55556,0.84444,3.3344
aotizhongxin,0,clean,hmc_in_K3|robust+gate,9,90,1.1425,1.3052,0.98618,0.661,0.67663,0.26667,0.55556,0.87778,3.4144
aotizhongxin,0,clean,hmc_in_K3|robust+gate,10,89,1.1502,1.323,1.0035,0.66825,0.68366,0.23596,0.58427,0.86517,3.4737
aotizhongxin,0,clean,hmc_in_K3|robust+gate,11,90,1.1154,1.2442,0.93556,0.63797,0.65154,0.35556,0.57778,0.87778,3.5223
aotizhongxin,0,clean,hmc_in_K3|robust+gate,12,90,1.1144,1.242,0.93272,0.63229,0.64358,0.34444,0.63333,0.87778,3.5604
aotizhongxin,0,clean,hmc_in_K3|robust+gate,13,91,1.0363,1.0739,0.87183,0.59048,0.59975,0.37363,0.71429,0.9011,3.5903
aotizhongxin,0,clean,hmc_in_K3|robust+gate,14,90,1.0606,1.1249,0.87764,0.60663,0.61111,0.4,0.73333,0.88889,3.618
aotizhongxin,0,clean,hmc_in_K3|robust+gate,15,91,1.0339,1.069,0.87735,0.59412,0.59845,0.38462,0.74725,0.9011,3.6388
aotizhongxin,0,clean,hmc_in_K3|robust+gate,16,91,1.0697,1.1444,0.89339,0.61281,0.61554,0.41758,0.75824,0.9011,3.6577
aotizhongxin,0,clean,hmc_in_K3|robust+gate,17,90,1.0305,1.062,0.85036,0.59259,0.59032,0.44444,0.76667,0.88889,3.6752
aotizhongxin,0,clean,hmc_in_K3|robust+gate,18,90,1.0431,1.088,0.86807,0.60182,0.60119,0.41111,0.75556,0.91111,3.6905
aotizhongxin,0,clean,hmc_in_K3|robust+gate,19,90,1.0671,1.1388,0.89837,0.62173,0.62176,0.4,0.73333,0.93333,3.6995
aotizhongxin,0,clean,hmc_in_K3|robust+gate,20,91,1.1167,1.2471,0.9501,0.65337,0.65362,0.35165,0.71429,0.91209,3.7113
aotizhongxin,0,clean,hmc_in_K3|robust+gate,21,90,1.0495,1.1014,0.90834,0.61844,0.61612,0.38889,0.72222,0.96667,3.7226
aotizhongxin,0,clean,hmc_in_K3|robust+gate,22,89,1.1719,1.3733,0.98949,0.69017,0.68625,0.33708,0.74157,0.89888,3.7326
aotizhongxin,0,clean,hmc_in_K3|robust+gate,23,88,1.1589,1.343,0.99682,0.6843,0.68366,0.38636,0.71591,0.90909,3.7389
aotizhongxin,0,clean,hmc_in_K3|robust+gate,24,90,1.2073,1.4575,1.0221,0.70858,0.70817,0.37778,0.71111,0.88889,3.7446
aotizhongxin,0,clean,hmc_in_K3|robust,1,90,0.59084,0.34909,0.47485,0.33375,0.33148,0.41111,0.75556,0.92222,2.3526
aotizhongxin,0,clean,hmc_in_K3|robust,2,89,0.70984,0.50387,0.57235,0.40373,0.40314,0.32584,0.73034,0.91011,2.6408
aotizhongxin,0,clean,hmc_in_K3|robust,3,89,0.80069,0.6411,0.64519,0.4494,0.4532,0.39326,0.68539,0.86517,2.8034
aotizhongxin,0,clean,hmc_in_K3|robust,4,90,0.90233,0.8142,0.74401,0.51283,0.51836,0.34444,0.63333,0.84444,2.925
aotizhongxin,0,clean,hmc_in_K3|robust,5,88,1.0346,1.0703,0.85953,0.59262,0.60147,0.26136,0.61364,0.81818,3.0515
aotizhongxin,0,clean,hmc_in_K3|robust,6,90,1.0879,1.1835,0.90385,0.6249,0.63502,0.26667,0.61111,0.8,3.1296
aotizhongxin,0,clean,hmc_in_K3|robust,7,91,1.1132,1.2393,0.95621,0.65073,0.66218,0.27473,0.57143,0.83516,3.2325
aotizhongxin,0,clean,hmc_in_K3|robust,8,90,1.1538,1.3312,0.97791,0.67269,0.68415,0.27778,0.55556,0.84444,3.3344
aotizhongxin,0,clean,hmc_in_K3|robust,9,90,1.1425,1.3052,0.98618,0.661,0.67663,0.26667,0.55556,0.87778,3.4144
aotizhongxin,0,clean,hmc_in_K3|robust,10,89,1.1502,1.323,1.0035,0.66825,0.68366,0.23596,0.58427,0.86517,3.4737
aotizhongxin,0,clean,hmc_in_K3|robust,11,90,1.1154,1.2442,0.93556,0.63797,0.65154,0.35556,0.57778,0.87778,3.5223
aotizhongxin,0,clean,hmc_in_K3|robust,12,90,1.1144,1.242,0.93272,0.63229,0.64358,0.34444,0.63333,0.87778,3.5604
aotizhongxin,0,clean,hmc_in_K3|robust,13,91,1.0363,1.0739,0.87183,0.59048,0.59975,0.37363,0.71429,0.9011,3.5903
aotizhongxin,0,clean,hmc_in_K3|robust,14,90,1.0606,1.1249,0.87764,0.60663,0.61111,0.4,0.73333,0.88889,3.618
aotizhongxin,0,clean,hmc_in_K3|robust,15,91,1.0339,1.069,0.87735,0.59412,0.59845,0.38462,0.74725,0.9011,3.6388
aotizhongxin,0,clean,hmc_in_K3|robust,16,91,1.0697,1.1444,0.89339,0.61281,0.61554,0.41758,0.75824,0.9011,3.6577
aotizhongxin,0,clean,hmc_in_K3|robust,17,90,1.0305,1.062,0.85036,0.59259,0.59032,0.44444,0.76667,0.88889,3.6752
aotizhongxin,0,clean,hmc_in_K3|robust,18,90,1.0431,1.088,0.86807,0.60182,0.60119,0.41111,0.75556,0.91111,3.6905
aotizhongxin,0,clean,hmc_in_K3|robust,19,90,1.0671,1.1388,0.89837,0.62173,0.62176,0.4,0.73333,0.93333,3.6995
aotizhongxin,0,clean,hmc_in_K3|robust,20,91,1.1167,1.2471,0.9501,0.65337,0.65362,0.35165,0.71429,0.91209,3.7113
aotizhongxin,0,clean,hmc_in_K3|robust,21,90,1.0495,1.1014,0.90834,0.61844,0.61612,0.38889,0.72222,0.96667,3.7226
aotizhongxin,0,clean,hmc_in_K3|robust,22,89,1.1719,1.3733,0.98949,0.69017,0.68625,0.33708,0.74157,0.89888,3.7326
aotizhongxin,0,clean,hmc_in_K3|robust,23,88,1.1589,1.343,0.99682,0.6843,0.68366,0.38636,0.71591,0.90909,3.7389
aotizhongxin,0,clean,hmc_in_K3|robust,24,90,1.2073,1.4575,1.0221,0.70858,0.70817,0.37778,0.71111,0.88889,3.7446
mote20,0,clean,hmc_in_K3|raw+gate,1,106,1.3171,1.7348,1.0497,0.7376,0.73307,0.43396,0.76415,0.9434,4.8091
mote20,0,clean,hmc_in_K3|raw+gate,2,109,1.2958,1.6792,1.0343,0.72385,0.71975,0.43119,0.79817,0.93578,4.8158
mote20,0,clean,hmc_in_K3|raw+gate,3,105,1.3424,1.8021,1.0597,0.74738,0.74304,0.46667,0.78095,0.93333,4.8947
mote20,0,clean,hmc_in_K3|raw+gate,4,108,1.3726,1.8841,1.1018,0.76571,0.76162,0.41667,0.77778,0.92593,4.8561
mote20,0,clean,hmc_in_K3|raw+gate,5,98,1.3304,1.77,1.0631,0.74268,0.73815,0.45918,0.77551,0.93878,4.895
mote20,0,clean,hmc_in_K3|raw+gate,7,106,1.3761,1.8936,1.0979,0.76982,0.76587,0.42453,0.76415,0.92453,4.9707
mote20,0,clean,hmc_in_K3|raw+gate,9,105,1.3166,1.7333,1.0475,0.73585,0.73208,0.44762,0.7619,0.94286,5.0146
mote20,0,clean,hmc_in_K3|raw+gate,10,109,1.3573,1.8422,1.0836,0.75649,0.75396,0.43119,0.75229,0.92661,5.0059
mote20,0,clean,hmc_in_K3|raw+gate,11,106,1.3561,1.839,1.0859,0.76052,0.75635,0.41509,0.76415,0.93396,5.0584
mote20,0,clean,hmc_in_K3|raw+gate,12,97,1.3453,1.8099,1.063,0.74763,0.74513,0.4433,0.79381,0.92784,5.0857
mote20,0,clean,hmc_in_K3|raw+gate,13,107,1.3893,1.9303,1.0979,0.77747,0.77414,0.43925,0.74766,0.92523,5.1463
mote20,0,clean,hmc_in_K3|raw+gate,14,105,1.348,1.817,1.068,0.75512,0.75278,0.42857,0.7619,0.94286,5.1675
mote20,0,clean,hmc_in_K3|raw+gate,15,103,1.3978,1.9537,1.1211,0.78692,0.78356,0.40777,0.75728,0.93204,5.2226
mote20,0,clean,hmc_in_K3|raw+gate,16,109,1.3616,1.8539,1.0801,0.76391,0.76059,0.44954,0.77064,0.93578,5.2734
mote20,0,clean,hmc_in_K3|raw+gate,17,104,1.3347,1.7815,1.0589,0.74732,0.74339,0.44231,0.80769,0.93269,5.2828
mote20,0,clean,hmc_in_K3|raw+gate,18,108,1.3341,1.7798,1.0377,0.73931,0.73806,0.47222,0.82407,0.93519,5.3678
mote20,0,clean,hmc_in_K3|raw+gate,19,99,1.3487,1.8189,1.0521,0.75023,0.74831,0.45455,0.78788,0.92929,5.3541
mote20,0,clean,hmc_in_K3|raw+gate,20,97,1.4048,1.9733,1.1123,0.79,0.78595,0.41237,0.7732,0.93814,5.4431
mote20,0,clean,hmc_in_K3|raw+gate,22,103,1.3756,1.8923,1.071,0.7639,0.7652,0.4466,0.79612,0.93204,5.5615
mote20,0,clean,hmc_in_K3|raw+gate,23,107,1.4222,2.0227,1.1181,0.79548,0.79443,0.42991,0.78505,0.92523,5.6093
mote20,0,clean,hmc_in_K3|raw+gate,24,111,1.4166,2.0069,1.1193,0.7945,0.7922,0.43243,0.77477,0.93694,5.6741
mote20,0,clean,hmc_in_K3|raw+gate,6,102,1.3368,1.7869,1.0552,0.74206,0.73792,0.45098,0.78431,0.93137,4.9082
mote20,0,clean,hmc_in_K3|raw+gate,8,104,1.3833,1.9134,1.0964,0.77178,0.76808,0.42308,0.75,0.92308,4.976
mote20,0,clean,hmc_in_K3|raw+gate,21,100,1.3414,1.7993,1.0497,0.75319,0.74882,0.48,0.79,0.95,5.4747
mote20,0,clean,hmc_in_K3|raw,1,106,1.3171,1.7348,1.0497,0.7376,0.73307,0.43396,0.76415,0.9434,4.8091
mote20,0,clean,hmc_in_K3|raw,2,109,1.2958,1.6792,1.0343,0.72385,0.71975,0.43119,0.79817,0.93578,4.8158
mote20,0,clean,hmc_in_K3|raw,3,105,1.3424,1.8021,1.0597,0.74738,0.74304,0.46667,0.78095,0.93333,4.8947
mote20,0,clean,hmc_in_K3|raw,4,108,1.3726,1.8841,1.1018,0.76571,0.76162,0.41667,0.77778,0.92593,4.8561
mote20,0,clean,hmc_in_K3|raw,5,98,1.3304,1.77,1.0631,0.74268,0.73815,0.45918,0.77551,0.93878,4.895
mote20,0,clean,hmc_in_K3|raw,7,106,1.3761,1.8936,1.0979,0.76982,0.76587,0.42453,0.76415,0.92453,4.9707
mote20,0,clean,hmc_in_K3|raw,9,105,1.3166,1.7333,1.0475,0.73585,0.73208,0.44762,0.7619,0.94286,5.0146
mote20,0,clean,hmc_in_K3|raw,10,109,1.3573,1.8422,1.0836,0.75649,0.75396,0.43119,0.75229,0.92661,5.0059
mote20,0,clean,hmc_in_K3|raw,11,106,1.3561,1.839,1.0859,0.76052,0.75635,0.41509,0.76415,0.93396,5.0584
mote20,0,clean,hmc_in_K3|raw,12,97,1.3453,1.8099,1.063,0.74763,0.74513,0.4433,0.79381,0.92784,5.0857
mote20,0,clean,hmc_in_K3|raw,13,107,1.3893,1.9303,1.0979,0.77747,0.77414,0.43925,0.74766,0.92523,5.1463
mote20,0,clean,hmc_in_K3|raw,14,105,1.348,1.817,1.068,0.75512,0.75278,0.42857,0.7619,0.94286,5.1675
mote20,0,clean,hmc_in_K3|raw,15,103,1.3978,1.9537,1.1211,0.78692,0.78356,0.40777,0.75728,0.93204,5.2226
mote20,0,clean,hmc_in_K3|raw,16,109,1.3616,1.8539,1.0801,0.76391,0.76059,0.44954,0.77064,0.93578,5.2734
mote20,0,clean,hmc_in_K3|raw,17,104,1.3347,1.7815,1.0589,0.74732,0.74339,0.44231,0.80769,0.93269,5.2828
mote20,0,clean,hmc_in_K3|raw,18,108,1.3341,1.7798,1.0377,0.73931,0.73806,0.47222,0.82407,0.93519,5.3678
mote20,0,clean,hmc_in_K3|raw,19,99,1.3487,1.8189,1.0521,0.75023,0.74831,0.45455,0.78788,0.92929,5.3541
mote20,0,clean,hmc_in_K3|raw,20,97,1.4048,1.9733,1.1123,0.79,0.78595,0.41237,0.7732,0.93814,5.4431
mote20,0,clean,hmc_in_K3|raw,22,103,1.3756,1.8923,1.071,0.7639,0.7652,0.4466,0.79612,0.93204,5.5615
mote20,0,clean,hmc_in_K3|raw,23,107,1.4222,2.0227,1.1181,0.79548,0.79443,0.42991,0.78505,0.92523,5.6093
mote20,0,clean,hmc_in_K3|raw,24,111,1.4166,2.0069,1.1193,0.7945,0.7922,0.43243,0.77477,0.93694,5.6741
mote20,0,clean,hmc_in_K3|raw,6,102,1.3368,1.7869,1.0552,0.74206,0.73792,0.45098,0.78431,0.93137,4.9082
mote20,0,clean,hmc_in_K3|raw,8,104,1.3833,1.9134,1.0964,0.77178,0.76808,0.42308,0.75,0.92308,4.976
mote20,0,clean,hmc_in_K3|raw,21,100,1.3414,1.7993,1.0497,0.75319,0.74882,0.48,0.79,0.95,5.4747
mote20,0,clean,hmc_in_K3|robust+gate,1,106,1.3349,1.7821,1.0512,0.75381,0.74885,0.41509,0.70755,0.88679,4.171
mote20,0,clean,hmc_in_K3|robust+gate,2,109,1.3219,1.7473,1.0454,0.74693,0.74463,0.38532,0.70642,0.89908,4.1451
mote20,0,clean,hmc_in_K3|robust+gate,3,105,1.3634,1.8589,1.0665,0.76653,0.76133,0.40952,0.69524,0.89524,4.2336
mote20,0,clean,hmc_in_K3|robust+gate,4,108,1.3941,1.9435,1.1087,0.79058,0.78523,0.36111,0.69444,0.87963,4.2409
mote20,0,clean,hmc_in_K3|robust+gate,5,98,1.3454,1.8102,1.0654,0.76103,0.75544,0.41837,0.67347,0.88776,4.2676
mote20,0,clean,hmc_in_K3|robust+gate,7,106,1.3969,1.9512,1.1037,0.79247,0.78692,0.38679,0.67925,0.87736,4.3311
mote20,0,clean,hmc_in_K3|robust+gate,9,105,1.3353,1.7829,1.0536,0.75279,0.74736,0.4,0.69524,0.90476,4.3906
mote20,0,clean,hmc_in_K3|robust+gate,10,109,1.3719,1.882,1.0847,0.77501,0.76948,0.37615,0.68807,0.88991,4.419
mote20,0,clean,hmc_in_K3|robust+gate,11,106,1.3751,1.891,1.0933,0.77967,0.77376,0.35849,0.69811,0.88679,4.4534
mote20,0,clean,hmc_in_K3|robust+gate,12,97,1.3791,1.9018,1.0849,0.77409,0.77094,0.38144,0.71134,0.8866,4.4688
mote20,0,clean,hmc_in_K3|robust+gate,13,107,1.4083,1.9834,1.1043,0.79818,0.79249,0.37383,0.69159,0.8785,4.5296
mote20,0,clean,hmc_in_K3|robust+gate,14,105,1.3614,1.8533,1.0708,0.77085,0.76575,0.39048,0.71429,0.89524,4.5575
mote20,0,clean,hmc_in_K3|robust+gate,15,103,1.4119,1.9934,1.1264,0.80701,0.80003,0.35922,0.68932,0.87379,4.5984
mote20,0,clean,hmc_in_K3|robust+gate,16,109,1.3755,1.8921,1.0843,0.77989,0.77427,0.38532,0.70642,0.88073,4.6407
mote20,0,clean,hmc_in_K3|robust+gate,17,104,1.346,1.8116,1.0616,0.75951,0.75327,0.38462,0.73077,0.89423,4.6863
mote20,0,clean,hmc_in_K3|robust+gate,18,108,1.3498,1.8219,1.0408,0.7526,0.74862,0.41667,0.75,0.88889,4.743
mote20,0,clean,hmc_in_K3|robust+gate,19,99,1.3788,1.9011,1.0701,0.77176,0.76876,0.42424,0.72727,0.87879,4.778
mote20,0,clean,hmc_in_K3|robust+gate,20,97,1.4203,2.0172,1.117,0.80672,0.79981,0.37113,0.71134,0.87629,4.8544
mote20,0,clean,hmc_in_K3|robust+gate,22,103,1.3913,1.9358,1.0752,0.78139,0.77811,0.42718,0.71845,0.8835,4.9651
mote20,0,clean,hmc_in_K3|robust+gate,23,107,1.4376,2.0668,1.1224,0.81349,0.80804,0.38318,0.71028,0.86916,5.025
mote20,0,clean,hmc_in_K3|robust+gate,24,111,1.4329,2.0532,1.1244,0.81265,0.80674,0.38739,0.7027,0.87387,5.0799
mote20,0,clean,hmc_in_K3|robust+gate,6,102,1.3552,1.8365,1.0609,0.75966,0.75413,0.40196,0.73529,0.88235,4.2987
mote20,0,clean,hmc_in_K3|robust+gate,8,104,1.4041,1.9716,1.1027,0.79467,0.78922,0.39423,0.68269,0.86538,4.358
mote20,0,clean,hmc_in_K3|robust+gate,21,100,1.3535,1.832,1.05,0.7638,0.75651,0.41,0.72,0.89,4.9089
mote20,0,clean,hmc_in_K3|robust,1,106,1.3253,1.7565,1.0478,0.75259,0.74823,0.41509,0.70755,0.88679,4.1442
mote20,0,clean,hmc_in_K3|robust,2,109,1.3183,1.7379,1.0441,0.74647,0.74443,0.38532,0.70642,0.89908,4.1344
mote20,0,clean,hmc_in_K3|robust,3,105,1.3536,1.8323,1.0628,0.76523,0.76065,0.40952,0.69524,0.89524,4.2051
mote20,0,clean,hmc_in_K3|robust,4,108,1.3849,1.918,1.1052,0.7893,0.78454,0.36111,0.69444,0.87963,4.213
mote20,0,clean,hmc_in_K3|robust,5,98,1.3383,1.7909,1.0627,0.76006,0.75488,0.41837,0.67347,0.88776,4.2479
mote20,0,clean,hmc_in_K3|robust,7,106,1.3879,1.9263,1.1001,0.79117,0.78617,0.38679,0.67925,0.87736,4.3023
mote20,0,clean,hmc_in_K3|robust,9,105,1.326,1.7584,1.05,0.75147,0.74656,0.4,0.69524,0.90476,4.3615
mote20,0,clean,hmc_in_K3|robust,10,109,1.3633,1.8585,1.0812,0.77374,0.7687,0.37615,0.68807,0.88991,4.391
mote20,0,clean,hmc_in_K3|robust,11,106,1.3663,1.8669,1.0897,0.77836,0.77294,0.35849,0.69811,0.88679,4.4246
mote20,0,clean,hmc_in_K3|robust,12,97,1.3696,1.8758,1.081,0.77266,0.77003,0.38144,0.71134,0.8866,4.4374
mote20,0,clean,hmc_in_K3|robust,13,107,1.3999,1.9598,1.1008,0.79688,0.79165,0.37383,0.69159,0.8785,4.5011
mote20,0,clean,hmc_in_K3|robust,14,105,1.3554,1.8371,1.0683,0.76994,0.76512,0.39048,0.71429,0.89524,4.5395
mote20,0,clean,hmc_in_K3|robust,15,103,1.4061,1.977,1.1239,0.80608,0.79937,0.35922,0.68932,0.87379,4.5802
mote20,0,clean,hmc_in_K3|robust,16,109,1.3699,1.8767,1.082,0.77901,0.77364,0.38532,0.70642,0.88073,4.6236
mote20,0,clean,hmc_in_K3|robust,17,104,1.3401,1.7958,1.0591,0.75859,0.75258,0.38462,0.73077,0.89423,4.6684
mote20,0,clean,hmc_in_K3|robust,18,108,1.3415,1.7996,1.0373,0.7513,0.74769,0.41667,0.75,0.88889,4.7155
mote20,0,clean,hmc_in_K3|robust,19,99,1.37,1.8769,1.0663,0.77034,0.76772,0.42424,0.72727,0.87879,4.7482
mote20,0,clean,hmc_in_K3|robust,20,97,1.4116,1.9925,1.1131,0.80528,0.79875,0.37113,0.71134,0.87629,4.8243
mote20,0,clean,hmc_in_K3|robust,22,103,1.3831,1.9128,1.0715,0.78002,0.77707,0.42718,0.71845,0.8835,4.9375
mote20,0,clean,hmc_in_K3|robust,23,107,1.4298,2.0444,1.1189,0.81218,0.80704,0.38318,0.71028,0.86916,4.9987
mote20,0,clean,hmc_in_K3|robust,24,111,1.4254,2.0316,1.121,0.81138,0.80577,0.38739,0.7027,0.87387,5.055
mote20,0,clean,hmc_in_K3|robust,6,102,1.3455,1.8103,1.0572,0.75831,0.75336,0.40196,0.73529,0.88235,4.2689
