study,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
mote20,hmc_in_K3|raw+gate,6,102,1.33677,1.78695,1.05522,0.74206,0.737922,0.45098,0.784314,0.931373,4.9082
mote20,hmc_in_K3|raw+gate,8,104,1.38326,1.91341,1.09636,0.77178,0.768077,0.423077,0.75,0.923077,4.97599
mote20,hmc_in_K3|raw+gate,21,100,1.34137,1.79928,1.04971,0.753186,0.748816,0.48,0.79,0.95,5.4747
mote20,hmc_in_K3|raw,1,106,1.31711,1.73477,1.04966,0.7376,0.733073,0.433962,0.764151,0.943396,4.80905
mote20,hmc_in_K3|raw,2,109,1.29585,1.67921,1.03431,0.723847,0.719748,0.431193,0.798165,0.93578,4.81584
mote20,hmc_in_K3|raw,3,105,1.34242,1.80209,1.05969,0.747378,0.74304,0.466667,0.780952,0.933333,4.89473
mote20,hmc_in_K3|raw,4,108,1.37264,1.88414,1.1018,0.765715,0.761615,0.416667,0.777778,0.925926,4.85607
mote20,hmc_in_K3|raw,5,98,1.33043,1.77004,1.06305,0.742679,0.738152,0.459184,0.77551,0.938776,4.89497
mote20,hmc_in_K3|raw,7,106,1.37608,1.8936,1.0979,0.769824,0.765872,0.424528,0.764151,0.924528,4.97073
mote20,hmc_in_K3|raw,9,105,1.31656,1.73334,1.04751,0.735854,0.732078,0.447619,0.761905,0.942857,5.01463
mote20,hmc_in_K3|raw,10,109,1.35728,1.84222,1.08358,0.756492,0.753961,0.431193,0.752294,0.926606,5.00591
mote20,hmc_in_K3|raw,11,106,1.35608,1.83897,1.08588,0.760518,0.756352,0.415094,0.764151,0.933962,5.05838
mote20,hmc_in_K3|raw,12,97,1.34531,1.80986,1.06305,0.747626,0.745135,0.443299,0.793814,0.927835,5.08574
mote20,hmc_in_K3|raw,13,107,1.38934,1.93027,1.09786,0.777467,0.77414,0.439252,0.747664,0.925234,5.14633
