study,rate,case,method,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,persistence|raw,2157,1.8416,3.3915,1.1631,0.90193,,0.43208,0.75475,0.98424,13.112
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmc_pair_K3|raw+gate,2157,1.0355,1.0723,0.76436,0.56134,0.61073,0.37135,0.72925,0.95549,8.3693
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmc_pair_K3|raw,2157,1.0355,1.0723,0.76436,0.56134,0.61073,0.37135,0.72925,0.95549,8.3693
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmc_pair_K3|robust+gate,2157,1.0452,1.0924,0.77079,0.56553,0.61273,0.36393,0.71859,0.95318,8.32
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmc_pair_K3|robust,2157,1.0453,1.0926,0.77102,0.56548,0.61272,0.36161,0.71859,0.95318,8.317
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmc_pair_K3|hampel+gate,2157,1.0452,1.0924,0.77079,0.56553,0.61273,0.36393,0.71859,0.95318,8.32
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmc_pair_K3|raw+gate,2157,1.0028,1.0057,0.77909,0.55592,0.55483,0.34724,0.67779,0.92814,3.3949
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmc_pair_K3|raw,2157,1.0028,1.0056,0.77907,0.55591,0.55481,0.34724,0.67779,0.92814,3.3946
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmc_pair_K3|robust+gate,2157,1.0059,1.0117,0.7821,0.5583,0.55593,0.34168,0.67177,0.91933,3.3235
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmc_pair_K3|robust,2157,1.0057,1.0113,0.78143,0.55793,0.55566,0.34214,0.67177,0.91933,3.3163
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmc_pair_K3|hampel+gate,2157,1.0175,1.0354,0.79937,0.56418,0.56721,0.33426,0.65415,0.87112,3.0749
aotizhongxin,0,aotizhongxin__clean,pmm|raw,2157,0.99584,0.99169,0.80685,0.56137,0.56137,0.38062,0.74409,0.90635,3.2798
aotizhongxin,0,aotizhongxin__clean,pmm_default|raw,2157,0.99605,0.99211,0.80694,0.56153,0.56153,0.38062,0.74316,0.90589,3.2786
tsnh4,0,tsnh4__clean,pmm|raw,2232,0.35195,0.12387,0.24231,0.18114,0.18114,0.67473,0.88306,0.97177,1.5406
tsnh4,0,tsnh4__clean,pmm_default|raw,2232,0.36756,0.1351,0.24437,0.18515,0.18515,0.61022,0.81362,0.90502,1.2106
mote20,0,mote20__clean,pmm|raw,2508,0.27216,0.074072,0.088528,0.098496,0.098496,0.89833,0.97129,0.98166,1.0532
mote20,0,mote20__clean,pmm_default|raw,2508,0.28941,0.083761,0.10779,0.091228,0.091228,0.77512,0.89753,0.94498,0.58001
mote20,0,mote20__raw,pmm|raw,2508,0.32596,0.10625,0.14819,0.25184,0.25184,0.96491,0.99163,0.99402,3.6623
mote20,0,mote20__raw,pmm_default|raw,2508,0.32522,0.10577,0.15948,0.30054,0.30054,0.98405,0.99362,0.99442,4.5742
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmm|raw,2157,1.0524,1.1075,0.86359,0.59511,0.59511,0.49281,0.83727,0.96198,4.3771
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,pmm_default|raw,2157,1.0524,1.1075,0.86359,0.59511,0.59511,0.49281,0.83727,0.96198,4.3771
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s1,pmm|raw,2157,1.0286,1.058,0.84228,0.58049,0.58049,0.49281,0.83774,0.96291,4.2476
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s1,pmm_default|raw,2157,1.0286,1.058,0.84228,0.58048,0.58048,0.49281,0.83774,0.96291,4.2476
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s2,pmm|raw,2157,1.026,1.0526,0.84509,0.57951,0.57951,0.48261,0.84284,0.96338,4.2747
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s2,pmm_default|raw,2157,1.026,1.0526,0.84509,0.57951,0.57951,0.48261,0.84284,0.96338,4.2747
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmm|raw,2157,1.0906,1.1895,0.85662,0.64867,0.64867,0.7172,0.94715,0.99954,6.6114
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,pmm_default|raw,2157,1.0906,1.1895,0.85662,0.64867,0.64867,0.7172,0.94715,0.99954,6.6114
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s1,pmm|raw,2157,1.0801,1.1665,0.84329,0.64596,0.64596,0.75846,0.94529,0.99768,6.7324
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s1,pmm_default|raw,2157,1.0801,1.1665,0.84329,0.64596,0.64596,0.75846,0.94529,0.99768,6.7324
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,pmm|raw,2157,1.1107,1.2337,0.87551,0.66257,0.66257,0.72647,0.95178,0.99954,6.8034
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,pmm_default|raw,2157,1.1107,1.2337,0.87551,0.66257,0.66257,0.72647,0.95178,0.99954,6.8034
