station,rate,block,seed,n_hidden,n_real_missing,method,K,n,rmse,mae,crps,crps_kind,cov90,width90,fit_s,status,impute_s,n_iter,ll,agree_ref_observed,agree_ref_hidden,n_warnings,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params
aotizhongxin,0.05,1,0,438,37,pmc_pair,3,438,0.2267595946210985,0.13056596634695256,0.10053721321212371,samples,0.9429223744292238,0.6265646885203742,18.80783254099879,ok,0.7498111249988142,25.0,292.4632402046352,0.8248642124321062,0.815068493150685,4.0,0.2153|0.5503|0.2344,2.4902|4.3457|4.7422,0.7240|0.7962|0.7313,0.6856|0.8985|0.6944,00:norm;01:norm;02:norm;10:norm;11:norm;12:norm;20:norm;21:norm;22:norm,00:GH(0.688);01:Frank(0.534);02:Frank(0.554);10:Frank(0.456);11:GH(0.901);12:Frank(0.470);20:GH(0.478);21:GH(0.571);22:GH(0.837),True
aotizhongxin,0.05,1,1,438,37,hmc_in,3,438,0.4166062387029978,0.3146620753777042,0.24221159318610377,samples,0.9452054794520548,1.7103680456943455,0.6883812499982014,ok,0.23166820799815468,15.0,-6328.393122729476,0.9939649969824985,0.958904109589041,0.0,0.2942|0.3940|0.3118,2.6195|4.1322|5.1359,0.6481|0.3667|0.3765,0.9504|0.9350|0.9594,0:norm;1:norm;2:norm,,True
aotizhongxin,0.05,1,1,438,37,pmc_pair,3,438,0.21224624253478752,0.1319894798740639,0.10077996983159912,samples,0.908675799086758,0.617061108015161,38.06629129200155,ok,0.762985250003112,50.0,306.08891426874226,0.8365721182860592,0.7557077625570776,1.0,0.2329|0.3900|0.3772,2.5432|4.4938|4.5000,0.6628|0.6668|0.7800,0.6562|0.8908|0.7722,00:norm;01:norm;02:norm;10:norm;11:norm;12:norm;20:norm;21:norm;22:norm,00:GH(0.758);01:Frank(0.612);02:GH(0.577);10:Frank(0.579);11:GH(0.898);12:Frank(0.553);20:GH(0.595);21:Frank(0.748);22:GH(0.839),True
aotizhongxin,0.05,1,2,438,37,hmc_in,3,438,0.43291511459530585,0.3318973225683344,0.24537511601124826,samples,0.954337899543379,1.7435428695793609,0.7425890409977001,ok,0.23162120900087757,16.0,-6338.035564979751,0.9955340977670489,0.9406392694063926,0.0,0.2945|0.3933|0.3122,2.6246|4.1285|5.1374,0.6472|0.3684|0.3758,0.9495|0.9340|0.9592,0:norm;1:norm;2:norm,,True
aotizhongxin,0.05,1,2,438,37,pmc_pair,3,438,0.25994121150898175,0.15010846240125836,0.11431142186899572,samples,0.910958904109589,0.6918542350132382,14.980540958000347,ok,0.7833604160005052,20.0,334.1642595128775,0.7663246831623416,0.728310502283105,4.0,0.1979|0.5806|0.2215,2.4953|4.2447|4.7488,0.8110|0.8664|0.7145,0.6618|0.9078|0.7175,00:norm;01:norm;02:norm;10:norm;11:norm;12:norm;20:norm;21:norm;22:norm,00:GH(0.592);01:Frank(0.646);02:GH(0.428);10:Frank(0.560);11:GH(0.903);12:Frank(0.499);20:GH(0.555);21:GH(0.554);22:GH(0.848),True
aotizhongxin,0.05,1,3,438,37,hmc_in,3,438,0.442267310107039,0.3224593375924257,0.24781735647328182,samples,0.9452054794520548,1.7418565302840059,0.6892058330013242,ok,0.2271603330009384,15.0,-6335.729440569156,0.9923958961979481,0.9703196347031964,0.0,0.2882|0.3966|0.3152,2.6103|4.1141|5.1317,0.6393|0.3755|0.3780,0.9498|0.9351|0.9597,0:norm;1:norm;2:norm,,True
aotizhongxin,0.05,1,3,438,37,pmc_pair,3,438,0.23303818364487455,0.14901174255989033,0.11003874356047834,samples,0.9246575342465754,0.6888370794842522,18.171286083001178,ok,0.7403794999991078,24.0,322.87003395801975,0.8205190102595051,0.7785388127853882,4.0,0.2315|0.5530|0.2155,2.5011|4.3663|4.7676,0.7047|0.7662|0.7288,0.7233|0.9068|0.7038,00:norm;01:norm;02:norm;10:norm;11:norm;12:norm;20:norm;21:norm;22:norm,00:GH(0.673);01:Frank(0.535);02:GH(0.446);10:Frank(0.457);11:GH(0.896);12:Frank(0.477);20:GH(0.521);21:GH(0.561);22:GH(0.839),True
aotizhongxin,0.05,1,4,438,37,hmc_in,3,438,0.4366740794838422,0.32950463692003157,0.24579998987787433,samples,0.95662100456621,1.7050493280958512,0.6360611249983776,ok,0.22797995899964008,14.0,-6341.498364766559,0.9874471937235969,0.9657534246575342,0.0,0.2856|0.3959|0.3185,2.6000|4.1046|5.1285,0.6391|0.3740|0.3801,0.9499|0.9348|0.9592,0:norm;1:norm;2:norm,,True
aotizhongxin,0.05,1,4,438,37,pmc_pair,3,438,0.23917419219920238,0.1466390029210256,0.1107813854752329,samples,0.910958904109589,0.6718467400408538,18.218066541001463,ok,0.7512855419990956,24.0,317.61709302376545,0.8063971031985516,0.7442922374429224,4.0,0.2321|0.5048|0.2630,2.5151|4.2873|4.7834,0.7106|0.8013|0.6879,0.6867|0.9045|0.7362,00:norm;01:norm;02:norm;10:norm;11:norm;12:norm;20:norm;21:norm;22:norm,00:GH(0.685);01:Frank(0.485);02:GH(0.452);10:Frank(0.414);11:GH(0.900);12:Frank(0.551);20:GH(0.558);21:Frank(0.529);22:GH(0.849),True
aotizhongxin,0.05,6,0,438,37,hmc_in,3,438,0.5255780814601194,0.40043418253784724,0.29722288337744274,samples,0.910958904109589,1.8725554342651354,0.6819562080017931,ok,0.23283562500000698,15.0,-6278.942155510229,0.9948098974049487,0.8378995433789954,0.0,0.2973|0.3896|0.3131,2.6284|4.1313|5.1311,0.6472|0.3645|0.3698,0.9504|0.9331|0.9591,0:norm;1:norm;2:norm,,True
