series,K,model,strategy,start,N,n_missing,status,error,run_tag,runtime_s,init_s,n_iter,ll_trace_last,n_ll_decreases,max_ll_decrease,ll,n_params,bic,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params,n_warnings,n_regressions_warned,warnings,ll_gap_to_best,agree_with_best,min_margin_sd,y_sd,ll_trace_max,min_pi,degenerate
huairou,2,pmc_pair,sem,2,8760,334,ok,,family-random-2,10.981079624998529,0.30039962500086403,30,-511.62438518838303,7,8.73144253817054,-514.5787015140045,14,1155.7044872235545,0.3187|0.6813,3.0256|4.4030,1.1464|0.7580,0.6702|0.8457,00:norm;01:norm;10:norm;11:norm,00:GH(0.889);01:GH(0.509);10:GH(0.517);11:Gauss(0.833),True,1,0,"GH.correct_tau: τ=1.1654 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000.",12.641253462289,0.8374429223744292,0.7579603949986612,1.1767602124940608,-510.46365037953774,0.3187,False
huairou,2,pmc_state,available,0,8760,334,ok,,kmeans,5.14549929200075,0.2622351659993001,17,-697.7076042926291,3,0.07730638837608694,-697.7076042926291,10,1485.8059830106477,0.3601|0.6399,2.8768|4.3002,1.1521|0.8311,0.9539|0.9741,0:norm;1:norm,00:GH(0.703);01:GH(0.161);10:GH(0.253);11:GH(0.886),True,2,2,ICE iter 14 || ICE iter 15,0.007652742294794734,0.9968036529680365,0.8310548778610244,1.1767602124940608,-697.5445571653321,0.3601,False
huairou,2,pmc_state,available,1,8760,334,ok,,family-random-1,4.291631541997049,0.2892688330030069,14,-697.6999515503343,0,0.0,-697.6999515503343,10,1485.790677526058,0.3541|0.6459,2.8671|4.2925,1.1497|0.8384,0.9531|0.9743,0:norm;1:norm,00:GH(0.700);01:GH(0.159);10:GH(0.249);11:GH(0.887),True,0,0,,0.0,1.0,0.8384009569116863,1.1767602124940608,-697.6999515503343,0.3541,False
huairou,2,pmc_state,available,2,8760,334,ok,,family-random-2,5.428897041001619,0.2672240840001905,18,-697.7993542612627,1,125.58657216101756,-697.7993542612627,10,1485.989482947915,0.3577|0.6423,2.8705|4.2984,1.1512|0.8317,0.9539|0.9744,0:norm;1:norm,00:GH(0.702);01:GH(0.159);10:GH(0.252);11:GH(0.886),True,1,1,ICE iter 3,0.09940271092841613,0.9980593607305936,0.8317244237135493,1.1767602124940608,-697.7993542612627,0.3577,False
huairou,2,pmc_state,impute,0,8760,334,ok,,kmeans,23.79179545900115,0.25832591600192245,17,-698.3736707112868,2,1.0262465985463223,-698.3736707112868,10,1487.138115847963,0.3557|0.6443,2.8537|4.2906,1.1499|0.8398,0.9535|0.9743,0:norm;1:norm,00:GH(0.700);01:GH(0.141);10:GH(0.252);11:GH(0.886),True,1,1,ICE iter 15,0.6737191609524871,0.9993150684931507,0.8398065800560495,1.1767602124940608,-697.3422342140697,0.3557,False
huairou,2,pmc_state,impute,1,8760,334,ok,,family-random-1,28.17294716699689,0.2426227080031822,20,-699.0919914597912,3,0.8621077996921258,-699.0919914597912,10,1488.574757344972,0.3567|0.6433,2.8614|4.3032,1.1503|0.8323,0.9538|0.9744,0:norm;1:norm,00:GH(0.701);01:GH(0.143);10:GH(0.245);11:GH(0.886),True,3,3,ICE iter 15 || ICE iter 16 || ICE iter 18,1.392039909456912,0.9981735159817352,0.8323326644826924,1.1767602124940608,-697.9679308563929,0.3567,False
huairou,2,pmc_state,impute,2,8760,334,ok,,family-random-2,23.002930082999228,0.23831774999780464,16,-699.94615134035,2,135.5362124213334,-699.94615134035,10,1490.2830771060894,0.3492|0.6508,2.8406|4.2966,1.1427|0.8403,0.9533|0.9749,0:norm;1:norm,00:GH(0.696);01:GH(0.139);10:GH(0.246);11:GH(0.886),True,1,1,ICE iter 3,2.2461997900156803,0.9971461187214612,0.8403351503227979,1.1767602124940608,-699.8918540216439,0.3492,False
huairou,2,pmc_state,sem,0,8760,334,ok,,kmeans,10.294867750002595,0.25281216599978507,30,-695.0959337398602,9,8.661084225074319,-706.1829965792493,10,1502.7567675838882,0.3585|0.6415,2.8408|4.3091,1.1271|0.8367,0.9569|0.9759,0:norm;1:norm,00:GH(0.709);01:GH(0.156);10:GH(0.252);11:GH(0.884),True,0,0,,8.483045028915058,0.9885844748858448,0.8366741119419231,1.1767602124940608,-695.0959337398602,0.3585,False
huairou,2,pmc_state,sem,1,8760,334,ok,,family-random-1,10.059307292001904,0.2679892079977435,30,-700.8459918976678,10,5.747235771562373,-707.1376291178176,10,1504.666032661025,0.3696|0.6304,2.8421|4.3513,1.1185|0.7980,0.9569|0.9747,0:norm;1:norm,00:GH(0.704);01:GH(0.157);10:GH(0.276);11:GH(0.884),True,0,0,,9.43767756748332,0.9835616438356164,0.7980124268209946,1.1767602124940608,-697.0783516743918,0.3696,False
huairou,2,pmc_state,sem,2,8760,334,ok,,family-random-2,10.572757041998557,0.2711921660011285,30,-700.1219316827967,10,117.66422491149842,-707.556796412867,10,1505.5043672511238,0.3565|0.6435,2.8517|4.3018,1.1342|0.8448,0.9531|0.9740,0:norm;1:norm,00:GH(0.711);01:GH(0.181);10:GH(0.249);11:GH(0.883),True,0,0,,9.85684486253274,0.9899543378995433,0.8448376642079668,1.1767602124940608,-696.543774419472,0.3565,False
