series,K,model,strategy,start,subject,fit_on,applied_to,method,err_all,n_all,err_missing,n_missing,err_observed,n_observed,err_real,n_real,err_mcar,n_mcar,conf_missing,time_s
pamap2_102_gapped,2,hmc_in,available,0,102,gapped,gapped,locf,0.09111617312072894,5268,0.0,583.0,0.10245464247598719,4685.0,0.0,159.0,0.0,424.0,0.9997743549974637,
pamap2_102_gapped,2,hmc_in,available,0,102,gapped,gapped,marginalise,0.09832953682611997,5268,0.06518010291595197,583.0,0.10245464247598719,4685.0,0.0,159.0,0.08962264150943396,424.0,0.8817869095889074,0.04113566600062768
pamap2_102_gapped,2,hmc_in,available,0,102,gapped,gapped,plugin,0.09908883826879271,5268,0.07032590051457976,583.0,0.10266808964781217,4685.0,0.0,159.0,0.09669811320754718,424.0,0.9938215556637565,
pamap2_102_gapped,2,hmc_in,available,1,102,gapped,complete,complete,0.1082004555808656,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,available,1,102,gapped,gapped,linear,0.09908883826879271,5268,0.048027444253859346,583.0,0.10544290288153682,4685.0,0.0,159.0,0.0660377358490566,424.0,0.9960174596617503,
pamap2_102_gapped,2,hmc_in,available,1,102,gapped,gapped,locf,0.09358390280941534,5268,0.0,583.0,0.10522945570971184,4685.0,0.0,159.0,0.0,424.0,0.9998245332948656,
pamap2_102_gapped,2,hmc_in,available,1,102,gapped,gapped,marginalise,0.10212604403948368,5268,0.07375643224699828,583.0,0.1056563500533618,4685.0,0.0,159.0,0.10141509433962265,424.0,0.8797522415334662,0.041109124998911284
pamap2_102_gapped,2,hmc_in,available,1,102,gapped,gapped,plugin,0.10193621867881549,5268,0.07375643224699828,583.0,0.10544290288153682,4685.0,0.0,159.0,0.10141509433962265,424.0,0.9962036453361648,
pamap2_102_gapped,2,hmc_in,available,2,102,gapped,complete,complete,0.10003796507213364,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,available,2,102,gapped,gapped,linear,0.09225512528473805,5268,0.04288164665523156,583.0,0.0983991462113127,4685.0,0.0,159.0,0.0589622641509434,424.0,0.9959556104291973,
pamap2_102_gapped,2,hmc_in,available,2,102,gapped,gapped,locf,0.08731966590736523,5268,0.0,583.0,0.09818569903948772,4685.0,0.0,159.0,0.0,424.0,0.9996898194239824,
pamap2_102_gapped,2,hmc_in,available,2,102,gapped,gapped,marginalise,0.0926347760060744,5268,0.048027444253859346,583.0,0.09818569903948772,4685.0,0.0,159.0,0.0660377358490566,424.0,0.8840421972639196,0.03937870800291421
pamap2_102_gapped,2,hmc_in,available,2,102,gapped,gapped,plugin,0.0914958238420653,5268,0.03773584905660377,583.0,0.09818569903948772,4685.0,0.0,159.0,0.05188679245283019,424.0,0.987915600890894,
pamap2_102_gapped,2,hmc_in,impute,0,102,gapped,complete,complete,0.10535307517084283,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,impute,0,102,gapped,gapped,linear,0.09643128321943811,5268,0.04631217838765009,583.0,0.10266808964781217,4685.0,0.0,159.0,0.06367924528301887,424.0,0.9960066195627147,
pamap2_102_gapped,2,hmc_in,impute,0,102,gapped,gapped,locf,0.09111617312072894,5268,0.0,583.0,0.10245464247598719,4685.0,0.0,159.0,0.0,424.0,0.9997743543349288,
pamap2_102_gapped,2,hmc_in,impute,0,102,gapped,gapped,marginalise,0.09832953682611997,5268,0.06518010291595197,583.0,0.10245464247598719,4685.0,0.0,159.0,0.08962264150943396,424.0,0.8818869436137377,0.03886212499855901
pamap2_102_gapped,2,hmc_in,impute,0,102,gapped,gapped,plugin,0.09908883826879271,5268,0.07032590051457976,583.0,0.10266808964781217,4685.0,0.0,159.0,0.09669811320754718,424.0,0.9937637862246598,
pamap2_102_gapped,2,hmc_in,impute,1,102,gapped,complete,complete,0.1082004555808656,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,impute,1,102,gapped,gapped,linear,0.09908883826879271,5268,0.048027444253859346,583.0,0.10544290288153682,4685.0,0.0,159.0,0.0660377358490566,424.0,0.9960422637906169,
pamap2_102_gapped,2,hmc_in,impute,1,102,gapped,gapped,locf,0.09358390280941534,5268,0.0,583.0,0.10522945570971184,4685.0,0.0,159.0,0.0,424.0,0.9998222501370171,
pamap2_102_gapped,2,hmc_in,impute,1,102,gapped,gapped,marginalise,0.10212604403948368,5268,0.07375643224699828,583.0,0.1056563500533618,4685.0,0.0,159.0,0.10141509433962265,424.0,0.8797476562871192,0.04024737500003539
pamap2_102_gapped,2,hmc_in,impute,1,102,gapped,gapped,plugin,0.10193621867881549,5268,0.07375643224699828,583.0,0.10544290288153682,4685.0,0.0,159.0,0.10141509433962265,424.0,0.9962904496684839,
pamap2_102_gapped,2,hmc_in,impute,2,102,gapped,complete,complete,0.10079726651480637,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,impute,2,102,gapped,gapped,linear,0.09301442672741078,5268,0.04288164665523156,583.0,0.09925293489861259,4685.0,0.0,159.0,0.0589622641509434,424.0,0.9959897957565628,
pamap2_102_gapped,2,hmc_in,impute,2,102,gapped,gapped,locf,0.08807896735003796,5268,0.0,583.0,0.09903948772678763,4685.0,0.0,159.0,0.0,424.0,0.9996972871873866,
pamap2_102_gapped,2,hmc_in,impute,2,102,gapped,gapped,marginalise,0.09339407744874716,5268,0.048027444253859346,583.0,0.09903948772678763,4685.0,0.0,159.0,0.0660377358490566,424.0,0.8844325341651523,0.039963208000699524
pamap2_102_gapped,2,hmc_in,impute,2,102,gapped,gapped,plugin,0.0926347760060744,5268,0.0411663807890223,583.0,0.09903948772678763,4685.0,0.0,159.0,0.05660377358490566,424.0,0.9884972704712908,
pamap2_102_gapped,2,hmc_in,sem,0,102,gapped,complete,complete,0.10763097949886105,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,sem,0,102,gapped,gapped,linear,0.09851936218678815,5268,0.048027444253859346,583.0,0.1048025613660619,4685.0,0.0,159.0,0.0660377358490566,424.0,0.9960580076498606,
pamap2_102_gapped,2,hmc_in,sem,0,102,gapped,gapped,locf,0.09301442672741078,5268,0.0,583.0,0.10458911419423693,4685.0,0.0,159.0,0.0,424.0,0.9998155474236653,
pamap2_102_gapped,2,hmc_in,sem,0,102,gapped,gapped,marginalise,0.10212604403948368,5268,0.07547169811320754,583.0,0.10544290288153682,4685.0,0.0,159.0,0.10377358490566038,424.0,0.8754842070854636,0.041073542000958696
pamap2_102_gapped,2,hmc_in,sem,0,102,gapped,gapped,plugin,0.10193621867881549,5268,0.07547169811320754,583.0,0.10522945570971184,4685.0,0.0,159.0,0.10377358490566038,424.0,0.9964386827964958,
pamap2_102_gapped,2,hmc_in,sem,1,102,gapped,complete,complete,0.10858010630220197,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,sem,1,102,gapped,gapped,linear,0.09889901290812453,5268,0.048027444253859346,583.0,0.10522945570971184,4685.0,0.0,159.0,0.0660377358490566,424.0,0.9960054475859973,
pamap2_102_gapped,2,hmc_in,sem,1,102,gapped,gapped,locf,0.09339407744874716,5268,0.0,583.0,0.10501600853788687,4685.0,0.0,159.0,0.0,424.0,0.999816878098038,
pamap2_102_gapped,2,hmc_in,sem,1,102,gapped,gapped,marginalise,0.10193621867881549,5268,0.07032590051457976,583.0,0.10586979722518676,4685.0,0.0,159.0,0.09669811320754718,424.0,0.8832160557740489,0.03874891599843977
pamap2_102_gapped,2,hmc_in,sem,1,102,gapped,gapped,plugin,0.10136674259681093,5268,0.07032590051457976,583.0,0.10522945570971184,4685.0,0.0,159.0,0.09669811320754718,424.0,0.9959784731774638,
pamap2_102_gapped,2,hmc_in,sem,2,102,gapped,complete,complete,0.10573272589217919,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,sem,2,102,gapped,gapped,linear,0.09681093394077449,5268,0.04631217838765009,583.0,0.10309498399146211,4685.0,0.0,159.0,0.06367924528301887,424.0,0.9960499956412602,
pamap2_102_gapped,2,hmc_in,sem,2,102,gapped,gapped,locf,0.0914958238420653,5268,0.0,583.0,0.10288153681963715,4685.0,0.0,159.0,0.0,424.0,0.9997832630498743,
pamap2_102_gapped,2,hmc_in,sem,2,102,gapped,gapped,marginalise,0.09870918754745633,5268,0.06518010291595197,583.0,0.10288153681963715,4685.0,0.0,159.0,0.08962264150943396,424.0,0.8829748328658188,0.04081070900065242
