task_id,task,wall_s
cv__huairou__model__hmc_in__r0.2__b48__s0__b09af3d2,cv,1.0301798330001475
cv__huairou__model__hmc_in__r0.2__b48__s1__7ba521e8,cv,1.260023667000496
cv__huairou__model__hmc_in__r0.2__b48__s2__52c7b63f,cv,1.3336914999999863
cv__huairou__model__hmc_in__r0.2__b48__s3__78b2d75c,cv,1.3433619999996154
cv__huairou__model__hmc_in__r0.2__b48__s4__bccb9840,cv,1.0690105840003525
cv__huairou__model__hmc_in__r0.2__b6__s0__23733ecb,cv,1.1498225830000592
cv__huairou__model__hmc_in__r0.2__b6__s1__52baf306,cv,1.1162852499983273
cv__huairou__model__hmc_in__r0.2__b6__s2__8467bc3d,cv,1.066557540998474
cv__huairou__model__hmc_in__r0.2__b6__s3__b9596d9a,cv,1.1132672919993638
cv__huairou__model__hmc_in__r0.2__b6__s4__3bf56a89,cv,1.6111745829985011
cv__huairou__model__pmc_state__r0.05__b1__s0__1fe8c0da,cv,15.660061291000602
cv__huairou__model__pmc_state__r0.05__b1__s1__e695395d,cv,15.614440541998192
cv__huairou__model__pmc_state__r0.05__b1__s2__31ac282f,cv,16.396035166002548
cv__huairou__model__pmc_state__r0.05__b1__s3__0216a444,cv,15.978828915998747
cv__huairou__model__pmc_state__r0.05__b1__s4__fbdffa80,cv,15.262501875000453
cv__huairou__model__pmc_state__r0.05__b48__s0__22463d37,cv,15.87463208400004
cv__huairou__model__pmc_state__r0.05__b48__s1__b4f31730,cv,7.987139541000943
cv__huairou__model__pmc_state__r0.05__b48__s2__6c9d57fd,cv,15.518423874997097
cv__huairou__model__pmc_state__r0.05__b48__s3__ca3763c0,cv,9.42613345800055
cv__huairou__model__pmc_state__r0.05__b48__s4__4cf35be4,cv,15.418787165999674
cv__huairou__model__pmc_state__r0.05__b6__s0__e0ae370a,cv,14.680880583000544
cv__huairou__model__pmc_state__r0.05__b6__s1__f4a8fc4f,cv,7.289510999999038
cv__huairou__model__pmc_state__r0.05__b6__s2__5b6c2016,cv,16.933025375001307
cv__huairou__model__pmc_state__r0.05__b6__s3__37fe4585,cv,15.438926916001947
cv__huairou__model__pmc_state__r0.05__b6__s4__9669c3ab,cv,15.434074458000396
cv__huairou__model__pmc_state__r0.2__b1__s0__0f07c9f4,cv,18.16057766599988
cv__huairou__model__pmc_state__r0.2__b1__s1__7e2b687f,cv,19.078417084001558
cv__huairou__model__pmc_state__r0.2__b1__s2__fcbc2243,cv,9.781568416998198
cv__huairou__model__pmc_state__r0.2__b1__s3__0ee23227,cv,20.112854167000478
