station,method,h,n,rmse,mae,crps_gauss,cov90
aotizhongxin,pmc_pair_K3,13,91,0.9968890980043046,0.7994854147501138,0.557454014479116,0.8461538461538461
aotizhongxin,pmc_pair_K3,14,90,1.0225816846925075,0.8194936837004793,0.5739486043586419,0.8444444444444444
aotizhongxin,pmc_pair_K3,15,91,0.9945103338642747,0.809063594445804,0.5603375062781721,0.8791208791208791
aotizhongxin,pmc_pair_K3,16,91,1.0368336400361136,0.8307528382827754,0.5811707187767559,0.8571428571428571
aotizhongxin,pmc_pair_K3,17,90,0.9972408131114285,0.7828185448682603,0.5526837438230184,0.8666666666666667
aotizhongxin,pmc_pair_K3,18,90,1.0084889858310402,0.8116953310710103,0.5693407381273136,0.8777777777777778
aotizhongxin,pmc_pair_K3,19,90,1.0375387187697351,0.8336518621449512,0.5892414552480064,0.9
aotizhongxin,pmc_pair_K3,20,91,1.0784708586663714,0.890961279173433,0.6234462694003412,0.8461538461538461
aotizhongxin,pmc_pair_K3,21,90,1.0281728450273726,0.8688478329840825,0.5969756892659094,0.8888888888888888
aotizhongxin,pmc_pair_K3,22,89,1.169750298299233,0.9828176260279264,0.6833553638461224,0.8426966292134831
aotizhongxin,pmc_pair_K3,23,88,1.1641859405453951,0.9961256764197707,0.684962308618216,0.8522727272727273
aotizhongxin,pmc_pair_K3,24,90,1.2136033218855162,1.0198908260685686,0.7101535146709176,0.8
