series,K,model,strategy,start,method,gap_class,n,rmse,mae,crps,crps_kind,cov90,width90,impute_s,ar1_params
tsnh4,2,pmc_pair,impute,0,pmc_posterior,3-20,300,0.08791189268056508,0.0625203278380291,0.050571977961660006,samples,0.9166666666666666,0.3347977582180343,0.4278924169993843,
tsnh4,2,pmc_pair,impute,0,pmc_posterior,>20,463,0.4409186540721131,0.3288731688524706,0.21839001648695847,samples,0.8509719222462203,1.2243689468933239,0.4278924169993843,
tsnh4,2,pmc_pair,impute,0,pmc_posterior,all,883,0.32498919716815644,0.20120079430298363,0.1376387239484279,samples,0.8776896942242356,0.788572340046057,0.4278924169993843,
tsnh4,2,pmc_pair,impute,1,pmc_posterior,1-2,120,0.08344483270083712,0.05241532611799024,0.04201656904721906,samples,0.9083333333333333,0.2355280393726011,0.4508391249983106,
tsnh4,2,pmc_pair,impute,1,pmc_posterior,3-20,300,0.08724792224707738,0.06206761418572022,0.05432361555903654,samples,0.9266666666666666,0.4223346416320405,0.4508391249983106,
tsnh4,2,pmc_pair,impute,1,pmc_posterior,>20,463,0.3861230734143008,0.2971133897476983,0.20299554725936064,samples,0.9244060475161987,1.1803863713882374,0.4508391249983106,
tsnh4,2,pmc_pair,impute,1,pmc_posterior,all,883,0.2858465218619189,0.18400183787435923,0.1306070343538632,samples,0.9229898074745186,0.7944310839944261,0.4508391249983106,
tsnh4,2,pmc_pair,impute,2,pmc_posterior,1-2,120,0.08354593739048792,0.052826527007690714,0.042514830077075225,samples,0.8833333333333333,0.23662935069667068,0.42706933400040725,
tsnh4,2,pmc_pair,impute,2,pmc_posterior,3-20,300,0.08904177946009326,0.06305613441201967,0.056503105217859846,samples,0.9066666666666666,0.4132629377717399,0.42706933400040725,
tsnh4,2,pmc_pair,impute,2,pmc_posterior,>20,463,0.41732858195885864,0.31469383560331715,0.2178225690050911,samples,0.8682505399568035,1.1861850011588386,0.42706933400040725,
tsnh4,2,pmc_pair,impute,2,pmc_posterior,all,883,0.30816311565996185,0.1936118566804809,0.13918976288104662,samples,0.883352208380521,0.7945391381106057,0.42706933400040725,
tsnh4,2,pmc_pair,sem,0,pmc_posterior,1-2,120,0.09795867913411599,0.056442594927715355,0.043511726986468775,samples,0.9,0.22963549412371992,0.43763524999667425,
tsnh4,2,pmc_pair,sem,0,pmc_posterior,3-20,300,0.087913382211363,0.06264745338171261,0.05042712554015034,samples,0.9466666666666667,0.35237627397509924,0.43763524999667425,
