series,subject,K,model,strategy,start,fit_on,applied_to,method,err_all,n_all,ll_complete,copulas,mean_sorted,n_warnings,err_missing,n_missing,err_observed,n_observed,err_real,n_real,err_mcar,n_mcar,conf_missing,time_s
pamap2_102_oracle,102,3,pmc_state,supervised,0,labels,gapped,plugin,0.154707668944571,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.557);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.563),-1.5981|0.6773|1.4449,0,0.00686106346483705,583.0,0.17310565635005337,4685.0,0.0,159.0,0.009433962264150943,424.0,0.999652008515857,
pamap2_105_oracle,105,2,hmc_in,supervised,0,labels,complete,complete,0.04698972099853157,5448,-10532.213974180042,,-1.1722|1.1678,0,,,,,,,,,,
pamap2_105_oracle,105,2,hmc_in,supervised,0,labels,gapped,linear,0.06883259911894272,5448,,,-1.1722|1.1678,0,0.15615615615615616,666.0,0.05667084901714764,4782.0,0.0,97.0,0.1827768014059754,569.0,0.9797322574190942,
pamap2_105_oracle,105,2,hmc_in,supervised,0,labels,gapped,locf,0.07690895741556535,5448,,,-1.1722|1.1678,0,0.2087087087087087,666.0,0.05855290673358427,4782.0,0.020618556701030927,97.0,0.24077328646748683,569.0,0.9906941316664676,
pamap2_105_oracle,105,2,hmc_in,supervised,0,labels,gapped,marginalise,0.04882525697503671,5448,,,-1.1722|1.1678,0,0.057057057057057055,666.0,0.04767879548306148,4782.0,0.0,97.0,0.06678383128295255,569.0,0.9640500214041091,0.03341079099845956
pamap2_105_oracle,105,2,hmc_in,supervised,0,labels,gapped,plugin,0.04882525697503671,5448,,,-1.1722|1.1678,0,0.05855855855855856,666.0,0.04746967795901297,4782.0,0.0,97.0,0.06854130052724078,569.0,0.9898441289516052,
pamap2_105_oracle,105,2,pmc_pair,supervised,0,labels,complete,complete,0.02551395007342144,5448,-5612.8966235707685,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.656),-1.1718|1.1751,0,,,,,,,,,,
pamap2_105_oracle,105,2,pmc_pair,supervised,0,labels,gapped,linear,0.07030102790014685,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.656),-1.1718|1.1751,0,0.17867867867867868,666.0,0.05520702634880803,4782.0,0.0,97.0,0.20913884007029876,569.0,0.9428352600233787,
pamap2_105_oracle,105,2,pmc_pair,supervised,0,labels,gapped,locf,0.05102790014684288,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.656),-1.1718|1.1751,0,0.11861861861861862,666.0,0.04161438728565454,4782.0,0.0,97.0,0.13884007029876977,569.0,0.9760710093507436,
pamap2_105_oracle,105,2,pmc_pair,supervised,0,labels,gapped,marginalise,0.02643171806167401,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.656),-1.1718|1.1751,0,0.04804804804804805,666.0,0.02342116269343371,4782.0,0.0,97.0,0.056239015817223195,569.0,0.9613018325380767,0.07301345800078707
pamap2_105_oracle,105,2,pmc_pair,supervised,0,labels,gapped,plugin,0.021292217327459617,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.656),-1.1718|1.1751,0,0.013513513513513514,666.0,0.022375575073191132,4782.0,0.0,97.0,0.015817223198594025,569.0,0.9907315449240075,
pamap2_105_oracle,105,2,pmc_state,supervised,0,labels,complete,complete,0.02643171806167401,5448,-5610.1676177877625,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.659),-1.1722|1.1678,0,,,,,,,,,,
pamap2_105_oracle,105,2,pmc_state,supervised,0,labels,gapped,linear,0.08333333333333333,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.659),-1.1722|1.1678,0,0.2222222222222222,666.0,0.06398996235884567,4782.0,0.020618556701030927,97.0,0.2565905096660808,569.0,0.9586597089509943,
pamap2_105_oracle,105,2,pmc_state,supervised,0,labels,gapped,locf,0.05323054331864904,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.659),-1.1722|1.1678,0,0.11861861861861862,666.0,0.04412379757423672,4782.0,0.0,97.0,0.13884007029876977,569.0,0.9602591637592506,
pamap2_105_oracle,105,2,pmc_state,supervised,0,labels,gapped,marginalise,0.02661527165932452,5448,,00:Clayton(0.686);01:Gauss(0.300);10:Gauss(0.300);11:GH(0.659),-1.1722|1.1678,0,0.042042042042042045,666.0,0.024466750313676285,4782.0,0.0,97.0,0.0492091388400703,569.0,0.9604721812404989,0.06730925000010757
