model,k,rate,rep,N,n_spikes,method,detect,false_rate,nbr_false,n_masked,err_clean,fits,converged,seconds,mu0,mu1,sd0,sd1,A00,A11,tau00,tau11,prescreen_detect,prescreen_false
pmc_gauss_k2,8,0.01,6,2000,20,true_nonseq,1.0,0.00101010101010101,0,22,nan,0,True,0.10021883400077058,,,,,,,,,,
pmc_gauss_k2,8,0.01,6,2000,20,true_raw,0.0,0.0,0,0,0.17626262626262623,0,True,0.0,,,,,,,,,,
pmc_gauss_k2,8,0.01,6,2000,20,clean,0.0,0.0,0,0,0.1358585858585859,1,True,0.09923729199908848,-0.9277779720652506,0.9982047950537403,0.9618137819136958,0.9599460552847089,0.9092041877241511,0.8963609025615215,0.5828353723266924,0.5885440084351586,,
pmc_gauss_k2,8,0.01,6,2000,20,raw,0.0,0.0,0,0,0.4964646464646465,1,True,0.5579314169990539,-0.05020426365153567,0.7228187810530138,1.2826402490463253,2.997971799683431,0.9153056585501999,0.5818723209362561,0.6874677666673631,0.8915316160853143,,
pmc_gauss_k2,8,0.01,6,2000,20,oracle,1.0,0.0,0,20,0.13686868686868692,1,True,0.1643024160002824,-0.9266701193002713,1.0036035103367345,0.9561420671036107,0.9545505249740757,0.9086978092970268,0.8953903750384649,0.5782027024783516,0.5882067114818552,,
pmc_gauss_k2,8,0.01,6,2000,20,fm,1.0,0.00101010101010101,0,22,0.13535353535353534,4,True,1.5670853339997848,-0.9297365201023393,0.9971527199682958,0.9479417130487088,0.9553692730784652,0.9080887002270538,0.8960161411503806,0.5754257270465486,0.5897083745475462,,
pmc_gauss_k2,8,0.01,6,2000,20,fm_hampel,1.0,0.00101010101010101,0,22,0.13535353535353534,3,True,0.9405174160001479,-0.9297365201023393,0.9971527199682958,0.9479417130487088,0.9553692730784652,0.9080887002270538,0.8960161411503806,0.5754257270465486,0.5897083745475462,0.95,0.00808080808080808
pmc_gauss_k2,8,0.01,6,2000,20,fm_warm,1.0,0.000505050505050505,0,21,0.3964646464646465,3,True,1.8812678750000487,-0.17006005926817194,0.29681101739135646,1.318560108986419,1.375606444845299,0.9104969780629265,0.8023009090745069,0.685833946948404,0.767072546705615,,
pmc_gauss_k2,8,0.01,6,2000,20,dpd,0.0,0.0,0,0,nan,0,True,0.04961816699869814,-0.05020426365153567,0.7228187810530138,1.2826402490463253,2.997971799683431,0.9153056585501999,0.5818723209362561,0.6854513276586609,0.8894366503800335,,
pmc_gauss_k2,4,0.05,6,2000,100,true_seq,0.87,0.0010526315789473684,1,89,0.14105263157894732,0,True,0.2690840830000525,,,,,,,,,,
pmc_gauss_k2,4,0.05,6,2000,100,true_nonseq,0.87,0.002631578947368421,1,92,nan,0,True,0.10105358300097578,,,,,,,,,,
pmc_gauss_k2,4,0.05,6,2000,100,true_raw,0.0,0.0,0,0,0.26473684210526316,0,True,0.0,,,,,,,,,,
pmc_gauss_k2,4,0.05,6,2000,100,clean,0.0,0.0,0,0,0.13736842105263158,1,True,0.10330191600041871,-0.9277779720652506,0.9982047950537403,0.9618137819136958,0.9599460552847089,0.9092041877241511,0.8963609025615215,0.5828353723266924,0.5885440084351586,,
pmc_gauss_k2,4,0.05,6,2000,100,raw,0.0,0.0,0,0,0.49736842105263157,1,True,0.4134636250000767,-0.05979968327348779,2.4372241670329804,1.329217992752536,2.941730801146683,0.8727378891542664,0.07834749898183839,0.6955163045296159,0.942376297337074,,
pmc_gauss_k2,4,0.05,6,2000,100,oracle,1.0,0.0,0,100,0.13684210526315788,1,True,0.18493566600045597,-0.9318822459224712,0.9777847498924461,0.9524472704094668,0.9634206579065852,0.9107435426601842,0.9005910957852341,0.5778631280975606,0.5883402206295837,,
pmc_gauss_k2,4,0.05,6,2000,100,fm,0.01,0.0,0,1,0.49684210526315786,2,True,1.2188298749988462,-0.062276322681018834,2.4299260733118264,1.3286192789059583,2.913278639216803,0.8733952681253272,0.08023830763699065,0.6955510486984033,0.9387709477723958,,
pmc_gauss_k2,4,0.05,6,2000,100,fm_hampel,0.02,0.0,0,2,0.49684210526315786,3,True,2.88553870800024,-0.06028858560543278,2.3683883695587054,1.3281639082016454,2.9275485125265646,0.8717173235066809,0.08037315214148417,0.698473621693393,0.9393880694103653,0.65,0.006842105263157895
pmc_gauss_k2,4,0.05,6,2000,100,fm_warm,0.01,0.0,0,1,0.49684210526315786,2,True,0.6889110419997451,-0.061517883195398,2.436600339259612,1.328840028288801,2.9177019477042507,0.8735998085514698,0.07658499073238485,0.6954622185688976,0.9452693048599892,,
