setting,subject,K,rule,mask,r,M,model,fit,mechanism,start_from,subset,n,rmse,mae,crps,cov90,width90,impute_s
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,start,vigorous,50,0.826201,0.707301,0.484918,0.78,2.21854,0.880612
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,start,transient,5,0.764656,0.642343,0.437292,1,2.32467,0.880612
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,start,all,156,0.618871,0.477308,0.352077,0.910256,2.22264,0.836146
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,start,locomotion,101,0.473828,0.355197,0.279375,0.970297,2.21985,0.836146
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,start,vigorous,50,0.826398,0.70748,0.489219,0.78,2.21827,0.836146
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,start,transient,5,0.764954,0.642237,0.449258,1,2.32274,0.836146
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,ignorable fit,all,156,0.61824,0.476762,0.345843,0.910256,2.22085,0.906468
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,ignorable fit,locomotion,101,0.473633,0.355006,0.272728,0.970297,2.21794,0.906468
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,ignorable fit,vigorous,50,0.825234,0.706184,0.48493,0.78,2.21618,0.906468
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,ignorable fit,transient,5,0.764051,0.642008,0.43189,1,2.3261,0.906468
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,ignorable fit,all,156,0.618312,0.476789,0.346895,0.910256,2.22064,1.00466
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,ignorable fit,locomotion,101,0.473614,0.354983,0.271668,0.970297,2.21787,1.00466
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,ignorable fit,vigorous,50,0.825398,0.706328,0.488194,0.78,2.21586,1.00466
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state-markov,ignorable fit,transient,5,0.764313,0.641888,0.453492,1,2.32427,1.00466
controlled,102,2,ge10,state,4,167,hmc_in,oracle,ignorable,,all,167,0.57439,0.448957,0.340097,0.982036,2.75559,0.828786
controlled,102,2,ge10,state,4,167,hmc_in,oracle,ignorable,,locomotion,108,0.4826,0.372571,0.30138,1,2.75175,0.828786
controlled,102,2,ge10,state,4,167,hmc_in,oracle,ignorable,,vigorous,53,0.731716,0.607596,0.422172,0.943396,2.72543,0.828786
controlled,102,2,ge10,state,4,167,hmc_in,oracle,ignorable,,transient,6,0.511071,0.42259,0.312007,1,3.09104,0.828786
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state,,all,167,0.68207,0.503021,0.380798,0.958084,2.7213,0.759616
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state,,locomotion,108,0.659998,0.450377,0.35895,0.962963,2.68914,0.759616
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state,,vigorous,53,0.740719,0.619391,0.431919,0.943396,2.74494,0.759616
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state,,transient,6,0.511187,0.422676,0.322508,1,3.09129,0.759616
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state-markov,,all,167,0.682427,0.503273,0.380225,0.958084,2.72137,0.77386
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state-markov,,locomotion,108,0.660071,0.450396,0.358571,0.962963,2.6891,0.77386
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state-markov,,vigorous,53,0.741621,0.620145,0.430713,0.943396,2.74525,0.77386
controlled,102,2,ge10,state,4,167,hmc_in,oracle,state-markov,,transient,6,0.511194,0.422681,0.324026,1,3.09131,0.77386
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,ignorable,start,all,167,0.597396,0.467817,0.33805,0.928144,2.26064,0.924111
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,ignorable,start,locomotion,108,0.457295,0.355909,0.273531,0.990741,2.27123,0.924111
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,ignorable,start,vigorous,53,0.823321,0.706376,0.478722,0.792453,2.22741,0.924111
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,ignorable,start,transient,6,0.42586,0.374896,0.256789,1,2.36356,0.924111
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,start,all,167,0.629143,0.489501,0.353569,0.928144,2.28587,0.902055
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,start,locomotion,108,0.504277,0.381318,0.287234,0.990741,2.28147,0.902055
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,start,vigorous,53,0.81939,0.702945,0.487746,0.792453,2.2543,0.902055
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,start,transient,6,0.713437,0.551382,0.362361,1,2.6438,0.902055
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,start,all,167,0.627715,0.488881,0.352894,0.928144,2.28582,0.829404
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,start,locomotion,108,0.502596,0.38079,0.286078,0.990741,2.28184,0.829404
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,start,vigorous,53,0.819389,0.702859,0.49003,0.792453,2.25363,0.829404
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,start,transient,6,0.699656,0.544375,0.344223,1,2.64186,0.829404
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,ignorable fit,all,167,0.626365,0.488039,0.354035,0.928144,2.28204,0.806694
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,ignorable fit,locomotion,108,0.501561,0.380546,0.290769,0.990741,2.2783,0.806694
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,ignorable fit,vigorous,53,0.817884,0.700994,0.482883,0.792453,2.24912,0.806694
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state,ignorable fit,transient,6,0.694891,0.541816,0.354686,1,2.64021,0.806694
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,ignorable fit,all,167,0.625055,0.487428,0.348605,0.928144,2.28189,0.949415
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,ignorable fit,locomotion,108,0.50003,0.380017,0.284883,0.990741,2.27849,0.949415
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,ignorable fit,vigorous,53,0.817879,0.700906,0.480107,0.792453,2.24848,0.949415
controlled,102,2,ge10,state,4,167,hmc_in,unsupervised,state-markov,ignorable fit,transient,6,0.681841,0.535123,0.334007,1,2.63824,0.949415
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,ignorable,,all,184,0.648446,0.494283,0.363373,0.978261,2.82876,1.00423
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,ignorable,,locomotion,116,0.466744,0.372557,0.289289,1,2.775,1.00423
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,ignorable,,vigorous,51,0.777661,0.64705,0.450871,0.960784,2.70132,1.00423
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,ignorable,,transient,17,1.11818,0.866586,0.606395,0.882353,3.57785,1.00423
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state,,all,184,0.790709,0.551138,0.417939,0.945652,2.74845,0.884831
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state,,locomotion,116,0.705002,0.444749,0.357202,0.956897,2.68772,0.884831
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state,,vigorous,51,0.777662,0.647053,0.451404,0.960784,2.70132,0.884831
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state,,transient,17,1.24954,0.989338,0.731986,0.823529,3.30428,0.884831
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state-markov,,all,184,0.680122,0.506005,0.373048,0.978261,2.82536,0.948473
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state-markov,,locomotion,116,0.526784,0.390716,0.298717,1,2.78952,0.948473
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state-markov,,vigorous,51,0.777662,0.647053,0.458746,0.960784,2.70132,0.948473
controlled,102,2,ge10,state-markov,0,184,hmc_in,oracle,state-markov,,transient,17,1.13964,0.869538,0.623148,0.882353,3.44201,0.948473
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,ignorable,start,all,184,0.645481,0.495,0.360796,0.896739,2.27335,0.821423
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,ignorable,start,locomotion,116,0.452815,0.358589,0.272204,0.982759,2.2599,0.821423
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,ignorable,start,vigorous,51,0.873807,0.750846,0.526998,0.705882,2.23025,0.821423
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,ignorable,start,transient,17,0.905458,0.658265,0.466704,0.882353,2.49445,0.821423
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,start,all,184,0.672644,0.509072,0.367695,0.907609,2.29795,0.855378
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,start,locomotion,116,0.508756,0.382934,0.28251,0.991379,2.29727,0.855378
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,start,vigorous,51,0.867097,0.742902,0.518459,0.705882,2.21437,0.855378
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,start,transient,17,0.935618,0.668287,0.496671,0.941176,2.55339,0.855378
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,start,all,184,0.638954,0.488116,0.353627,0.907609,2.25801,0.868357
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,start,locomotion,116,0.449513,0.356219,0.26555,0.991379,2.24856,0.868357
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,start,vigorous,51,0.86896,0.745077,0.51638,0.705882,2.21867,0.868357
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,start,transient,17,0.88022,0.617237,0.466367,0.941176,2.44049,0.868357
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,ignorable fit,all,184,0.667838,0.506439,0.366352,0.907609,2.29857,0.93209
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,ignorable fit,locomotion,116,0.501114,0.379993,0.281702,0.991379,2.2987,0.93209
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,ignorable fit,vigorous,51,0.866266,0.741989,0.514222,0.705882,2.21278,0.93209
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state,ignorable fit,transient,17,0.92878,0.662601,0.500347,0.941176,2.55511,0.93209
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,ignorable fit,all,184,0.638538,0.487742,0.354554,0.907609,2.25619,0.773649
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,ignorable fit,locomotion,116,0.449333,0.356096,0.267994,0.991379,2.24636,0.773649
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,ignorable fit,vigorous,51,0.867837,0.743792,0.511201,0.705882,2.21634,0.773649
controlled,102,2,ge10,state-markov,0,184,hmc_in,unsupervised,state-markov,ignorable fit,transient,17,0.880904,0.617886,0.47526,0.941176,2.44285,0.773649
