setting,subject,K,rule,model,start,fit,mechanism,start_from,n_iter,fit_s,state_means,ll,classify_s,err_all,n_all,perm,perm_identity,err_missing,n_missing,err_observed,n_observed,acc_missing,conf_missing,brier_missing,logloss_missing,p_true_missing,ece_missing,rel_n,rel_conf,rel_correct,share_true_missing,share_post_missing,mech_rates,mech_onset,mech_persistence,sorted_rates,sorted_onset,sorted_persistence,ll_mask_common,mask,r,M,mask_rates,mask_onset,mask_persistence,err_by_activity
controlled,102,3,ge10,hmc_in,0,unsupervised,state,start,11,1.78327,-2.4113|-0.7708|0.9675,-8732.05,0.14084,0.386105,5268,021,False,0.781065,169,0.373014,5099,0.218935,0.995947,1.5543,6.51182,0.219248,0.777012,0|0|0|0|0|0|1|0|4|164,0|0|0|0|0|0|0.782573|0|3.67323|163.859,0|0|0|0|0|0|0|0|3|34,0.0000|0.2367|0.7633,0.0177|0.9639|0.0184,0.0020036|0.0032167|0.036697,,,0.0020036|0.0032167|0.036697,,,-904.3448|-901.7319,state,1,186,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,start,11,1.73219,-2.4113|-0.7711|0.9674,-8731.59,0.122514,0.386105,5268,021,False,0.781065,169,0.373014,5099,0.218935,0.995918,1.55431,6.47445,0.219213,0.776983,0|0|0|0|0|0|1|0|4|164,0|0|0|0|0|0|0.785663|0|3.6661|163.858,0|0|0|0|0|0|0|0|3|34,0.0000|0.2367|0.7633,0.0177|0.9638|0.0184,0.0020236|0.0032482|0.036688,0.0020072|0.0032376|0.036124,0.01012|0.0065198|0.051478,0.0020236|0.0032482|0.036688,0.0020072|0.0032376|0.036124,0.01012|0.0065198|0.051478,-904.3448|-901.7319,state,1,186,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,ignorable fit,3,0.490887,-2.4135|-0.7964|0.9617,-8731.53,0.117734,0.385535,5268,021,False,0.781065,169,0.372426,5099,0.218935,0.995566,1.55328,6.42223,0.219528,0.776631,0|0|0|0|0|0|1|0|4|164,0|0|0|0|0|0|0.734169|0|3.6608|163.856,0|0|0|0|0|0|0|0|3|34,0.0000|0.2367|0.7633,0.0177|0.9641|0.0182,0.0020008|0.0033979|0.036329,,,0.0020008|0.0033979|0.036329,,,-904.3448|-901.7319,state,1,186,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,3,0.44048,-2.4135|-0.7965|0.9617,-8731.06,0.121345,0.385535,5268,021,False,0.781065,169,0.372426,5099,0.218935,0.995543,1.5533,6.38757,0.219486,0.776608,0|0|0|0|0|0|1|0|4|164,0|0|0|0|0|0|0.738398|0|3.65354|163.855,0|0|0|0|0|0|0|0|3|34,0.0000|0.2367|0.7633,0.0177|0.9640|0.0183,0.0020211|0.0034287|0.036324,0.0020046|0.0034174|0.035753,0.010144|0.006738|0.051471,0.0020211|0.0034287|0.036324,0.0020046|0.0034174|0.035753,0.010144|0.006738|0.051471,-904.3448|-901.7319,state,1,186,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,ignorable,,,,,-10776.4,0.164575,0.13041,5268,012,True,0.09375,160,0.131558,5108,0.90625,0.98601,0.145923,0.654451,0.917723,0.0797603,0|0|2|0|1|0|1|2|2|152,0|0|0.983608|0|0.61082|0|0.789534|1.66849|1.79938|151.91,0|0|0|0|0|0|0|0|1|144,0.0000|0.3063|0.6937,0.0283|0.3141|0.6576,,,,,,,,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state,,,,,-11543.8,0.142302,0.107631,5268,012,True,0.05625,160,0.10924,5108,0.94375,0.993289,0.0985188,0.349125,0.945423,0.0523768,0|0|0|0|1|0|1|0|2|156,0|0|0|0|0.626249|0|0.77295|0|1.78729|155.74,0|0|0|0|0|0|1|0|0|150,0.0000|0.3063|0.6937,0.0243|0.3113|0.6644,9.6177e-06|0.022081|0.10624,,,,,,,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state-markov,,,,,-11544.7,0.162944,0.107631,5268,012,True,0.05625,160,0.10924,5108,0.94375,0.993254,0.0983885,0.347219,0.945453,0.0523494,0|0|0|0|1|0|1|0|2|156,0|0|0|0|0.627917|0|0.772356|0|1.78258|155.738,0|0|0|0|0|0|1|0|0|150,0.0000|0.3063|0.6937,0.0242|0.3114|0.6644,9.8358e-06|0.022105|0.10621,9.0684e-06|0.022108|0.10579,0.078035|0.022001|0.1098,,,,,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,ignorable,,,,,-6709.62,0.380702,0.0677677,5268,012,True,0.0625,160,0.0679327,5108,0.9375,0.970282,0.109084,0.373242,0.9248,0.042726,0|0|2|1|3|4|0|1|7|142,0|0|1.02374|0.585689|1.92575|2.86087|0|0.832149|6.40272|141.614,0|0|1|1|2|3|0|1|5|137,0.0000|0.3063|0.6937,0.0343|0.3058|0.6600,,,,,,,,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state,,,,,-7470.02,0.334677,0.0548595,5268,012,True,0.025,160,0.0557948,5108,0.975,0.988869,0.0467573,0.12203,0.967972,0.0227043,0|0|0|0|0|3|1|2|2|152,0|0|0|0|0|2.09005|0.751581|1.71321|1.82836|151.836,0|0|0|0|0|2|1|2|2|149,0.0000|0.3063|0.6937,0.0143|0.3043|0.6815,9.6177e-06|0.022081|0.10624,,,,,,,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state-markov,,,,,-7470.98,0.391095,0.0548595,5268,012,True,0.025,160,0.0557948,5108,0.975,0.988955,0.0466668,0.121294,0.968055,0.0227906,0|0|0|0|0|3|1|2|2|152,0|0|0|0|0|2.10441|0.749561|1.71547|1.82809|151.835,0|0|0|0|0|2|1|2|2|149,0.0000|0.3063|0.6937,0.0142|0.3044|0.6814,9.8358e-06|0.022105|0.10621,9.0684e-06|0.022108|0.10579,0.078035|0.022001|0.1098,,,,,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,ignorable,start,11,1.67039,-2.4117|-0.7853|0.9673,-7920.64,0.133109,0.384776,5268,021,False,0.70625,160,0.374706,5108,0.29375,0.985487,1.39418,4.03084,0.291448,0.7038,0|0|1|0|0|1|2|1|1|154,0|0|0.50344|0|0|0.702941|1.53151|0.859391|0.930638|153.15,0|0|1|0|0|0|2|0|0|44,0.0000|0.3063|0.6937,0.0075|0.9542|0.0382,,,,,,,-849.8717|-841.2032,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,start,10,1.56669,-2.4099|-0.7663|0.9712,-8698.89,0.138653,0.385156,5268,021,False,0.70625,160,0.375098,5108,0.29375,0.993598,1.40032,5.7522,0.294505,0.699848,0|0|0|0|0|0|2|2|1|155,0|0|0|0|0|0|1.50398|1.71519|0.918883|154.838,0|0|0|0|0|0|1|1|0|45,0.0000|0.3063|0.6937,0.0060|0.9680|0.0260,0.0010228|0.003074|0.03424,,,0.0010228|0.003074|0.03424,,,-849.8717|-841.2032,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,start,10,1.42347,-2.4100|-0.7671|0.9710,-8694.91,0.115817,0.385156,5268,021,False,0.70625,160,0.375098,5108,0.29375,0.993505,1.40037,5.6992,0.294411,0.703159,0|0|0|0|0|1|1|1|2|155,0|0|0|0|0|0.727701|0.772494|0.844804|1.78411|154.832,0|0|0|0|0|1|0|0|1|45,0.0000|0.3063|0.6937,0.0060|0.9677|0.0263,0.0010467|0.0031435|0.034237,0.0010198|0.0031277|0.032589,0.026742|0.0081504|0.080719,0.0010467|0.0031435|0.034237,0.0010198|0.0031277|0.032589,0.026742|0.0081504|0.080719,-849.8717|-841.2032,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,ignorable fit,3,0.41421,-2.4134|-0.7929|0.9658,-8698.07,0.143332,0.384776,5268,021,False,0.70625,160,0.374706,5108,0.29375,0.99354,1.39803,5.66585,0.295671,0.69979,0|0|0|0|0|1|0|2|2|155,0|0|0|0|0|0.691135|0|1.63091|1.8067|154.838,0|0|0|0|0|0|0|1|1|45,0.0000|0.3063|0.6937,0.0057|0.9687|0.0255,0.0009856|0.0032884|0.033904,,,0.0009856|0.0032884|0.033904,,,-849.8717|-841.2032,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,3,0.434229,-2.4134|-0.7931|0.9657,-8694.09,0.121764,0.384586,5268,021,False,0.70625,160,0.374511,5108,0.29375,0.993474,1.39812,5.61666,0.295551,0.702374,0|0|0|0|0|1|1|1|2|155,0|0|0|0|0|0.705635|0.787966|0.825565|1.80479|154.832,0|0|0|0|0|0|1|0|1|45,0.0000|0.3063|0.6937,0.0057|0.9685|0.0259,0.0010141|0.0033464|0.033907,0.00098731|0.0033278|0.032268,0.0274|0.0088926|0.080588,0.0010141|0.0033464|0.033907,0.00098731|0.0033278|0.032268,0.0274|0.0088926|0.080588,-849.8717|-841.2032,state,2,172,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,ignorable,,,,,-10775.2,0.176912,0.13079,5268,012,True,0.115385,156,0.13126,5112,0.884615,0.980872,0.182217,1.02924,0.896101,0.10304,0|0|1|2|1|1|1|2|3|145,0|0|0.524379|1.14036|0.605776|0.709086|0.764238|1.63481|2.70664|144.931,0|0|0|0|0|0|1|0|3|134,0.0000|0.2500|0.7500,0.0281|0.2361|0.7357,,,,,,,,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state,,,,,-11500.6,0.101986,0.107441,5268,012,True,0.0705128,156,0.108568,5112,0.929487,0.99622,0.139857,0.785213,0.926591,0.0698875,0|0|0|0|0|0|0|0|2|154,0|0|0|0|0|0|0|0|1.75393|153.656,0|0|0|0|0|0|0|0|2|143,0.0000|0.2500|0.7500,0.0192|0.2251|0.7556,9.3389e-06|0.017576|0.11198,,,,,,,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state-markov,,,,,-11500.9,0.150612,0.107441,5268,012,True,0.0705128,156,0.108568,5112,0.929487,0.996036,0.140034,0.784376,0.926376,0.0702964,0|0|0|0|0|0|0|2|0|154,0|0|0|0|0|0|0|1.70767|0|153.674,0|0|0|0|0|0|0|2|0|143,0.0000|0.2500|0.7500,0.0192|0.2259|0.7549,9.5461e-06|0.017615|0.11195,8.5518e-06|0.017423|0.10885,0.10417|0.028312|0.13648,,,,,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,ignorable,,,,,-6702.94,0.388167,0.0670084,5268,012,True,0.0705128,156,0.0669014,5112,0.929487,0.959967,0.122207,0.459608,0.909939,0.0561197,0|0|1|4|2|2|3|3|11|130,0|0|0.507446|2.29874|1.3192|1.38217|2.25984|2.51631|9.97521|129.496,0|0|0|3|2|2|1|2|9|126,0.0000|0.2500|0.7500,0.0218|0.2388|0.7394,,,,,,,,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state,,,,,-7411.07,0.391863,0.0607441,5268,012,True,0.0512821,156,0.0610329,5112,0.948718,0.979263,0.0906944,0.286769,0.940563,0.0491201,0|0|0|1|5|0|2|1|1|146,0|0|0|0.593721|3.10391|0|1.53571|0.853495|0.868306|145.81,0|0|0|1|4|0|0|1|0|142,0.0000|0.2500|0.7500,0.0051|0.2350|0.7599,9.3389e-06|0.017576|0.11198,,,,,,,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state-markov,,,,,-7411.25,0.395165,0.0607441,5268,012,True,0.0512821,156,0.0610329,5112,0.948718,0.980189,0.0886112,0.289052,0.941706,0.0511385,0|0|0|1|2|3|2|1|1|146,0|0|0|0.596094|1.27558|2.0201|1.5159|0.849716|0.867709|145.784,0|0|0|1|1|3|0|1|0|142,0.0000|0.2500|0.7500,0.0049|0.2366|0.7585,9.5461e-06|0.017615|0.11195,8.5518e-06|0.017423|0.10885,0.10417|0.028312|0.13648,,,,,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,ignorable,start,11,1.68347,-2.4119|-0.7915|0.9614,-7901.88,0.131619,0.384966,5268,021,False,0.762821,156,0.373435,5112,0.237179,0.983202,1.49739,4.39464,0.239614,0.758257,0|0|2|1|1|0|0|1|1|150,0|0|1.03227|0.590126|0.600348|0|0|0.855272|0.918026|149.384,0|0|0|1|1|0|0|1|0|34,0.0000|0.2500|0.7500,0.0072|0.9559|0.0369,,,,,,,-830.1400|-813.9768,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,start,11,1.62408,-2.4116|-0.7768|0.9651,-8665.77,0.145258,0.385915,5268,021,False,0.762821,156,0.374413,5112,0.237179,0.99548,1.51423,6.26559,0.238805,0.7583,0|0|0|0|0|0|0|2|2|152,0|0|0|0|0|0|0|1.68878|1.82349|151.783,0|0|0|0|0|0|0|0|1|36,0.0000|0.2500|0.7500,0.0065|0.9727|0.0208,0.0014401|0.0030296|0.032993,,,0.0014401|0.0030296|0.032993,,,-830.1400|-813.9768,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,start,11,1.72699,-2.4116|-0.7783|0.9647,-8656.52,0.120366,0.385915,5268,021,False,0.762821,156,0.374413,5112,0.237179,0.995282,1.51398,6.15606,0.23877,0.758102,0|0|0|0|0|0|0|1|3|152,0|0|0|0|0|0|0|0.815822|2.67327|151.775,0|0|0|0|0|0|0|0|1|36,0.0000|0.2500|0.7500,0.0065|0.9722|0.0213,0.001478|0.003132|0.032951,0.0014413|0.0030975|0.030392,0.026289|0.014096|0.10805,0.001478|0.003132|0.032951,0.0014413|0.0030975|0.030392,0.026289|0.014096|0.10805,-830.1400|-813.9768,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,ignorable fit,3,0.407153,-2.4136|-0.7986|0.9603,-8665.36,0.133864,0.385535,5268,021,False,0.762821,156,0.374022,5112,0.237179,0.995129,1.51325,6.14974,0.239038,0.75795,0|0|0|0|0|0|0|2|2|152,0|0|0|0|0|0|0|1.65284|1.81294|151.774,0|0|0|0|0|0|0|0|1|36,0.0000|0.2500|0.7500,0.0065|0.9727|0.0208,0.0013986|0.0033285|0.032662,,,0.0013986|0.0033285|0.032662,,,-830.1400|-813.9768,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,3,0.483703,-2.4136|-0.7990|0.9602,-8656.11,0.134992,0.385535,5268,021,False,0.762821,156,0.374022,5112,0.237179,0.994949,1.51307,6.05342,0.238979,0.75777,0|0|0|0|0|0|0|2|3|151,0|0|0|0|0|0|0|1.65389|2.72152|150.837,0|0|0|0|0|0|0|0|2|35,0.0000|0.2500|0.7500,0.0065|0.9722|0.0213,0.0014381|0.0034256|0.032629,0.0014021|0.0033872|0.030085,0.026398|0.014608|0.10804,0.0014381|0.0034256|0.032629,0.0014021|0.0033872|0.030085,0.026398|0.014608|0.10804,-830.1400|-813.9768,state,3,167,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,ignorable,,,,,-10758.8,0.174475,0.13079,5268,012,True,0.104396,182,0.131734,5086,0.895604,0.98545,0.183113,0.89443,0.898917,0.0898458,0|0|2|0|2|1|0|1|4|172,0|0|1.0062|0|1.28268|0.669305|0|0.859423|3.65001|171.884,0|0|1|0|1|0|0|0|1|160,0.0000|0.3352|0.6648,0.0460|0.3132|0.6408,,,,,,,,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state,,,,,-11577.3,0.175955,0.111427,5268,012,True,0.0604396,182,0.113252,5086,0.93956,0.982219,0.10345,0.441216,0.935885,0.0480929,0|0|1|1|1|2|4|0|4|169,0|0|0.505485|0.595085|0.629576|1.43901|3.0172|0|3.59415|168.983,0|0|1|0|0|0|3|0|3|164,0.0000|0.3352|0.6648,0.0196|0.3420|0.6384,1.0454e-05|0.027487|0.11581,,,,,,,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state-markov,,,,,-11567.3,0.177557,0.111617,5268,012,True,0.0659341,182,0.113252,5086,0.934066,0.981709,0.103209,0.437462,0.935759,0.0551715,0|0|1|1|3|1|3|0|4|169,0|0|0.528981|0.57256|1.9868|0.701208|2.3149|0|3.58232|168.984,0|0|0|0|0|0|3|0|3|164,0.0000|0.3352|0.6648,0.0185|0.3422|0.6393,1.0707e-05|0.027504|0.1158,9.5965e-06|0.02641|0.11582,0.10372|0.066189|0.1156,,,,,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,ignorable,,,,,-6670.86,0.340174,0.0677677,5268,012,True,0.0714286,182,0.0676366,5086,0.928571,0.959907,0.130549,0.590289,0.906788,0.062656,0|0|1|3|6|3|4|2|7|156,0|0|0.527506|1.64159|3.82652|2.15446|3.08687|1.64133|6.35518|155.47,0|0|1|1|5|3|3|2|6|148,0.0000|0.3352|0.6648,0.0464|0.3266|0.6270,,,,,,,,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state,,,,,-7470.12,0.361376,0.0571374,5268,012,True,0.0384615,182,0.0578057,5086,0.961538,0.990667,0.0662501,0.201534,0.959083,0.0354539,0|0|0|0|0|1|1|2|6|172,0|0|0|0|0|0.710265|0.739025|1.61919|5.42439|171.809,0|0|0|0|0|0|0|1|6|168,0.0000|0.3352|0.6648,0.0044|0.3569|0.6387,1.0454e-05|0.027487|0.11581,,,,,,,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state-markov,,,,,-7461.9,0.385239,0.0571374,5268,012,True,0.0384615,182,0.0578057,5086,0.961538,0.991111,0.0650142,0.196401,0.960207,0.03472,0|0|0|0|0|2|1|1|3|175,0|0|0|0|0|1.39703|0.79021|0.822913|2.70865|174.663,0|0|0|0|0|0|0|1|3|171,0.0000|0.3352|0.6648,0.0042|0.3574|0.6384,1.0707e-05|0.027504|0.1158,9.5965e-06|0.02641|0.11582,0.10372|0.066189|0.1156,,,,,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,ignorable,start,11,1.62535,-2.4112|-0.7831|0.9661,-7898.91,0.125775,0.385535,5268,021,False,0.664835,182,0.375541,5086,0.335165,0.969215,1.29952,3.77752,0.329317,0.657109,0|0|1|3|4|3|1|1|4|165,0|0|0.514485|1.62981|2.53156|2.09333|0.748128|0.855584|3.6201|164.404,0|0|1|0|4|2|0|1|2|51,0.0000|0.3352|0.6648,0.0072|0.9274|0.0654,,,,,,,-908.1935|-891.9617,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,start,10,1.49239,-2.4099|-0.7684|0.9690,-8731.52,0.151359,0.384776,5268,021,False,0.664835,182,0.374754,5086,0.335165,0.989065,1.31101,5.03137,0.335973,0.657843,0|0|0|1|1|0|1|2|4|173,0|0|0|0.591747|0.641175|0|0.779779|1.70532|3.58088|172.711,0|0|0|0|1|0|0|1|2|57,0.0000|0.3352|0.6648,0.0000|0.9515|0.0485,1.4272e-05|0.0055367|0.036647,,,1.4272e-05|0.0055367|0.036647,,,-908.1935|-891.9617,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,start,11,1.68263,-2.4114|-0.7764|0.9675,-8721.36,0.136454,0.384776,5268,021,False,0.664835,182,0.374754,5086,0.335165,0.988025,1.3075,4.86003,0.336877,0.656633,0|0|0|1|1|0|1|2|5|172,0|0|0|0.565543|0.656748|0|0.785452|1.64935|4.50289|171.661,0|0|0|0|1|0|0|1|2|57,0.0000|0.3352|0.6648,0.0000|0.9508|0.0492,1.5098e-05|0.0055858|0.036562,1.4016e-05|0.0051605|0.034015,0.071686|0.081302|0.10367,1.5098e-05|0.0055858|0.036562,1.4016e-05|0.0051605|0.034015,0.071686|0.081302|0.10367,-908.1935|-891.9617,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state,ignorable fit,4,0.59524,-2.4134|-0.7928|0.9641,-8730.79,0.12078,0.384207,5268,021,False,0.664835,182,0.374164,5086,0.335165,0.989085,1.30984,5.01813,0.336732,0.657349,0|0|1|0|0|1|0|3|3|174,0|0|0.510002|0|0|0.687944|0|2.51451|2.66232|173.639,0|0|0|0|0|1|0|1|1|58,0.0000|0.3352|0.6648,0.0001|0.9527|0.0472,5.1234e-05|0.0054284|0.036441,,,5.1234e-05|0.0054284|0.036441,,,-908.1935|-891.9617,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,4,0.592619,-2.4134|-0.7933|0.9639,-8721.03,0.133559,0.384207,5268,021,False,0.664835,182,0.374164,5086,0.335165,0.988016,1.30664,4.84896,0.337419,0.656251,0|0|1|0|0|1|0|3|4|173,0|0|0.504734|0|0|0.69058|0|2.45921|3.58063|172.584,0|0|0|0|0|1|0|1|1|58,0.0000|0.3352|0.6648,0.0002|0.9518|0.0481,7.4927e-05|0.0054752|0.03641,6.8489e-05|0.0050638|0.03387,0.085998|0.080211|0.10362,7.4927e-05|0.0054752|0.03641,6.8489e-05|0.0050638|0.03387,0.085998|0.080211|0.10362,-908.1935|-891.9617,state,4,187,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,ignorable,,,,,-10780.8,0.124695,0.13003,5268,012,True,0.103896,154,0.130817,5114,0.896104,0.994755,0.202097,1.34405,0.894344,0.0986508,0|0|0|0|0|0|2|0|1|151,0|0|0|0|0|0|1.57803|0|0.893778|150.72,0|0|0|0|0|0|1|0|0|137,0.0000|0.2922|0.7078,0.0526|0.2773|0.6702,,,,,,,,state-markov,0,165,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state,,,,,-11550.4,0.0960832,0.107062,5268,012,True,0.0584416,154,0.108526,5114,0.941558,0.984368,0.117521,0.643,0.932067,0.0663025,0|0|1|4|0|0|0|0|0|149,0|0|0.511962|2.19103|0|0|0|0|0|148.89,0|0|0|4|0|0|0|0|0|141,0.0000|0.2922|0.7078,0.0275|0.2934|0.6790,9.2274e-06|0.020279|0.10432,,,,,,,state-markov,0,165,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,hmc_in,,oracle,state-markov,,,,,-11508.3,0.134592,0.107631,5268,012,True,0.0779221,154,0.108526,5114,0.922078,0.995644,0.158827,0.845673,0.917885,0.0803268,0|0|1|0|0|0|0|0|0|153,0|0|0.4794|0|0|0|0|0|0|152.85,0|0|1|0|0|0|0|0|0|141,0.0000|0.2922|0.7078,0.0422|0.2928|0.6649,9.4303e-06|0.020381|0.10445,7.5273e-06|0.016551|0.090731,0.20181|0.20448|0.22203,,,,,state-markov,0,165,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,ignorable,,,,,-6719.57,0.282297,0.0894077,5268,012,True,0.0974026,154,0.089167,5114,0.902597,0.984274,0.171361,0.744824,0.900497,0.0816768,0|0|0|0|0|1|2|2|4|145,0|0|0|0|0|0.719176|1.51754|1.6809|3.62236|144.038,0|0|0|0|0|0|0|0|2|137,0.0000|0.2922|0.7078,0.0605|0.2632|0.6763,,,,,,,,state-markov,0,165,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
controlled,102,3,ge10,pmc_pair,,oracle,state,,,,,-7481.71,0.308407,0.0548595,5268,012,True,0.0519481,154,0.0549472,5114,0.948052,0.980746,0.0816706,0.176043,0.943674,0.0382657,0|0|0|1|0|2|2|2|9|138,0|0|0|0.581114|0|1.41887|1.57098|1.64057|8.14692|137.676,0|0|0|0|0|1|2|1|7|135,0.0000|0.2922|0.7078,0.0074|0.3022|0.6904,9.2274e-06|0.020279|0.10432,,,,,,,state-markov,0,165,0|0.02073|0.1082|0.002723,0|0.01841|0.09237|0.002458,0|0.1304|0.2389|0.1,
