subject,resolution,rule,classes,mechanism,statistic,observed,sim_median,sim_lo,sim_hi,p_two_sided,S
108,2Hz,ge10,activity,state-markov,max_len,6,4,2,7,0.149254,200
108,2Hz,ge10,activity,state-markov,share_in_runs,0.267327,0.305442,0.185405,0.440404,0.616915,200
108,2Hz,ge10,activity,state-markov,dispersion,3.25548,1.51179,1.25679,1.97159,0.00995025,200
108,2Hz,any,K3,state,M,905,903,859.85,959.05,0.935323,200
108,2Hz,any,K3,state,n_bursts,558,769,730.925,812.025,0.00995025,200
108,2Hz,any,K3,state,mean_len,1.62186,1.17521,1.14386,1.20065,0.00995025,200
108,2Hz,any,K3,state,max_len,18,4,4,7,0.00995025,200
108,2Hz,any,K3,state,share_in_runs,0.549171,0.272724,0.236767,0.305618,0.00995025,200
108,2Hz,any,K3,state,dispersion,5.53576,1.5888,1.43426,1.75009,0.00995025,200
108,2Hz,any,K3,state-markov,M,905,904,844.975,982.025,0.995025,200
108,2Hz,any,K3,state-markov,n_bursts,558,558,520.975,595,1,200
108,2Hz,any,K3,state-markov,mean_len,1.62186,1.62374,1.54649,1.71536,0.965174,200
108,2Hz,any,K3,state-markov,max_len,18,8,6,12,0.00995025,200
108,2Hz,any,K3,state-markov,share_in_runs,0.549171,0.614697,0.574429,0.653451,0.0199005,200
108,2Hz,any,K3,state-markov,dispersion,5.53576,2.23455,2.0104,2.55594,0.00995025,200
108,2Hz,any,activity,state,M,905,904,856.9,957.025,0.975124,200
108,2Hz,any,activity,state,n_bursts,558,701.5,668.975,746,0.00995025,200
108,2Hz,any,activity,state,mean_len,1.62186,1.28612,1.24284,1.33486,0.00995025,200
108,2Hz,any,activity,state,max_len,18,6,5,9.025,0.00995025,200
108,2Hz,any,activity,state,share_in_runs,0.549171,0.38034,0.339274,0.418872,0.00995025,200
108,2Hz,any,activity,state,dispersion,5.53576,2.983,2.67395,3.26393,0.00995025,200
108,2Hz,any,activity,state-markov,M,905,909,841.775,960,0.955224,200
108,2Hz,any,activity,state-markov,n_bursts,558,559,528.875,592.025,0.975124,200
108,2Hz,any,activity,state-markov,mean_len,1.62186,1.61613,1.52516,1.7023,0.925373,200
108,2Hz,any,activity,state-markov,max_len,18,8,6,12,0.00995025,200
108,2Hz,any,activity,state-markov,share_in_runs,0.549171,0.603854,0.559128,0.646634,0.0199005,200
108,2Hz,any,activity,state-markov,dispersion,5.53576,3.43203,3.05077,3.82062,0.00995025,200
105,100Hz,-,activity,state-markov,M,1541,1536,1429.03,1664.05,0.926829,40
105,100Hz,-,activity,state-markov,n_bursts,942,934.5,877.85,1004.95,0.97561,40
105,100Hz,-,activity,state-markov,mean_len,1.63588,1.63736,1.55486,1.68756,0.97561,40
105,100Hz,-,activity,state-markov,max_len,28,15.5,7.975,29.25,0.195122,40
105,100Hz,-,activity,state-markov,share_len1,0.703822,0.634029,0.60925,0.665337,0.0487805,40
105,100Hz,-,activity,state-markov,onset_disp_1s,4.18463,2.24411,2.07521,2.40231,0.0487805,40
105,100Hz,-,activity,state-markov,onset_disp_10s,28.8801,13.7229,12.7303,15.2258,0.0487805,40
105,2Hz,ge10,K3,state,M,100,100,80,119,1,200
105,2Hz,ge10,K3,state,n_bursts,69,96,78,114,0.00995025,200
105,2Hz,ge10,K3,state,mean_len,1.44928,1.0355,1.00909,1.0783,0.00995025,200
