task,seconds,cpu_seconds,cached,spec
real,304.59,115.554,True,"{""task"": ""real"", ""what"": ""fit"", ""subject"": 102, ""K"": 3, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""mechanism"": ""ignorable"", ""start"": 0, ""quick"": false}"
real,164.346,64.3916,True,"{""task"": ""real"", ""what"": ""fit"", ""subject"": 102, ""K"": 3, ""rule"": ""any"", ""model"": ""pmc_pair"", ""mechanism"": ""ignorable"", ""start"": 0, ""quick"": false}"
real,57.1198,25.8775,True,"{""task"": ""real"", ""what"": ""fit"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""mechanism"": ""ignorable"", ""start"": 0, ""quick"": false}"
real,116.922,43.5849,True,"{""task"": ""real"", ""what"": ""fit"", ""subject"": 108, ""K"": 3, ""rule"": ""any"", ""model"": ""pmc_pair"", ""mechanism"": ""ignorable"", ""start"": 0, ""quick"": false}"
real,97.1384,32.201,True,"{""task"": ""real"", ""what"": ""fit"", ""subject"": 105, ""K"": 3, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""mechanism"": ""ignorable"", ""start"": 0, ""quick"": false}"
real,81.401,29.0177,True,"{""task"": ""real"", ""what"": ""fit"", ""subject"": 105, ""K"": 3, ""rule"": ""any"", ""model"": ""pmc_pair"", ""mechanism"": ""ignorable"", ""start"": 0, ""quick"": false}"
describe,25.3834,8.31182,True,"{""task"": ""describe"", ""subject"": 102, ""quick"": false}"
describe,23.6542,7.73496,True,"{""task"": ""describe"", ""subject"": 108, ""quick"": false}"
describe,17.4904,7.24409,True,"{""task"": ""describe"", ""subject"": 105, ""quick"": false}"
controlled,10.6323,4.35554,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,10.1897,4.25816,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.4373,4.07249,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.8453,4.14525,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.2657,3.93887,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 4, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.7442,4.12912,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.7303,4.11333,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.577,4.07715,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,12.8389,4.18785,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,13.3869,4.254,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 4, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,14.4835,4.42992,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,13.7316,4.47686,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,13.9071,4.51215,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,12.636,4.33671,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,12.0843,4.48756,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 4, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.6061,4.45051,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 0, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.4755,4.39173,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 1, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.3413,4.48312,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 2, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,11.6701,4.59223,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 3, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,10.817,4.32525,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 2, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 4, ""oracles"": [""hmc_in""], ""quick"": false}"
controlled,21.2663,8.69278,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 0, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,21.7081,8.85547,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 1, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,20.508,8.37145,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 2, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,20.6623,8.75798,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 3, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,19.7773,8.65087,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state"", ""r"": 4, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,17.6795,7.88322,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 0, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,19.3787,8.66416,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 1, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,18.2771,8.70782,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 2, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,16.3054,8.54219,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 3, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,15.9707,8.35845,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""ge10"", ""mask"": ""state-markov"", ""r"": 4, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,22.7783,11.2548,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 0, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,23.3537,10.9267,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 1, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,25.5411,11.1318,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 2, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,25.1084,10.9109,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 3, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,25.5608,11.3465,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state"", ""r"": 4, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,24.5431,11.3057,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 0, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,22.9041,10.7715,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 1, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
controlled,24.1185,11.197,True,"{""task"": ""controlled"", ""subject"": 102, ""K"": 3, ""intensity"": ""any"", ""mask"": ""state-markov"", ""r"": 2, ""oracles"": [""hmc_in"", ""pmc_pair""], ""quick"": false}"
