config,criterion,run,i,j,true,sel,hit
exp1_orig_p,mle,45,1,1,Clayton,Clayton,1
exp1_orig_p,mle,46,0,0,Gauss,GH,0
exp1_orig_p,mle,46,0,1,GH,Gauss,0
exp1_orig_p,mle,46,1,0,GH,Gauss,0
exp1_orig_p,mle,46,1,1,Clayton,Clayton,1
exp1_orig_p,mle,47,0,0,Gauss,GH,0
exp1_orig_p,mle,47,0,1,GH,Gauss,0
exp1_orig_p,mle,47,1,0,GH,GH,1
exp1_orig_p,mle,47,1,1,Clayton,Clayton,1
exp1_orig_p,mle,48,0,0,Gauss,GH,0
exp1_orig_p,mle,48,0,1,GH,Clayton,0
exp1_orig_p,mle,48,1,0,GH,Gauss,0
exp1_orig_p,mle,48,1,1,Clayton,Clayton,1
exp1_orig_p,mle,49,0,0,Gauss,GH,0
exp1_orig_p,mle,49,0,1,GH,Clayton,0
exp1_orig_p,mle,49,1,0,GH,Clayton,0
exp1_orig_p,mle,49,1,1,Clayton,Clayton,1
exp1_orig_p,mle,50,0,0,Gauss,Gauss,1
exp1_orig_p,mle,50,0,1,GH,Gauss,0
exp1_orig_p,mle,50,1,0,GH,Gauss,0
exp1_orig_p,mle,50,1,1,Clayton,Clayton,1
exp1_orig_p,mle,51,0,0,Gauss,GH,0
exp1_orig_p,mle,51,0,1,GH,GH,1
exp1_orig_p,mle,51,1,0,GH,Gauss,0
exp1_orig_p,mle,51,1,1,Clayton,Clayton,1
exp1_orig_p,mle,52,0,0,Gauss,Gauss,1
exp1_orig_p,mle,52,0,1,GH,Gauss,0
exp1_orig_p,mle,52,1,0,GH,Gauss,0
exp1_orig_p,mle,52,1,1,Clayton,Clayton,1
exp1_orig_p,mle,53,0,0,Gauss,GH,0
exp1_orig_p,mle,53,0,1,GH,Clayton,0
exp1_orig_p,mle,53,1,0,GH,Gauss,0
exp1_orig_p,mle,53,1,1,Clayton,Clayton,1
exp1_orig_p,mle,54,0,0,Gauss,GH,0
exp1_orig_p,mle,54,0,1,GH,Clayton,0
exp1_orig_p,mle,54,1,0,GH,Clayton,0
exp1_orig_p,mle,54,1,1,Clayton,Clayton,1
exp1_orig_p,mle,55,0,0,Gauss,GH,0
exp1_orig_p,mle,55,0,1,GH,Clayton,0
exp1_orig_p,mle,55,1,0,GH,Clayton,0
exp1_orig_p,mle,55,1,1,Clayton,Clayton,1
exp1_orig_p,mle,56,0,0,Gauss,GH,0
exp1_orig_p,mle,56,0,1,GH,Clayton,0
exp1_orig_p,mle,56,1,0,GH,GH,1
exp1_orig_p,mle,56,1,1,Clayton,Clayton,1
exp1_orig_p,mle,57,0,0,Gauss,Gauss,1
exp1_orig_p,mle,57,0,1,GH,Gauss,0
exp1_orig_p,mle,57,1,0,GH,Clayton,0
exp1_orig_p,mle,57,1,1,Clayton,Clayton,1
exp1_orig_p,mle,58,0,0,Gauss,GH,0
exp1_orig_p,mle,58,0,1,GH,Clayton,0
exp1_orig_p,mle,58,1,0,GH,GH,1
exp1_orig_p,mle,58,1,1,Clayton,Clayton,1
exp1_orig_p,mle,59,0,0,Gauss,GH,0
exp1_orig_p,mle,59,0,1,GH,Clayton,0
exp1_orig_p,mle,59,1,0,GH,GH,1
exp1_orig_p,mle,59,1,1,Clayton,Clayton,1
exp1_orig_p,mle,60,0,0,Gauss,GH,0
exp1_orig_p,mle,60,0,1,GH,GH,1
exp1_orig_p,mle,60,1,0,GH,Gauss,0
exp1_orig_p,mle,60,1,1,Clayton,Clayton,1
exp1_orig_p,mle,61,0,0,Gauss,GH,0
exp1_orig_p,mle,61,0,1,GH,GH,1
exp1_orig_p,mle,61,1,0,GH,Clayton,0
exp1_orig_p,mle,61,1,1,Clayton,Clayton,1
exp1_orig_p,mle,62,0,0,Gauss,GH,0
exp1_orig_p,mle,62,0,1,GH,Clayton,0
exp1_orig_p,mle,62,1,0,GH,GH,1
exp1_orig_p,mle,62,1,1,Clayton,Clayton,1
exp1_orig_p,mle,63,0,0,Gauss,GH,0
exp1_orig_p,mle,63,0,1,GH,GH,1
exp1_orig_p,mle,63,1,0,GH,GH,1
exp1_orig_p,mle,63,1,1,Clayton,Clayton,1
exp1_orig_p,mle,64,0,0,Gauss,GH,0
exp1_orig_p,mle,64,0,1,GH,GH,1
exp1_orig_p,mle,64,1,0,GH,GH,1
exp1_orig_p,mle,64,1,1,Clayton,Clayton,1
exp1_orig_p,mle,65,0,0,Gauss,GH,0
exp1_orig_p,mle,65,0,1,GH,Clayton,0
exp1_orig_p,mle,65,1,0,GH,GH,1
exp1_orig_p,mle,65,1,1,Clayton,Clayton,1
exp1_orig_p,mle,66,0,0,Gauss,GH,0
exp1_orig_p,mle,66,0,1,GH,GH,1
exp1_orig_p,mle,66,1,0,GH,GH,1
exp1_orig_p,mle,66,1,1,Clayton,Clayton,1
exp1_orig_p,mle,67,0,0,Gauss,GH,0
exp1_orig_p,mle,67,0,1,GH,Clayton,0
exp1_orig_p,mle,67,1,0,GH,Gauss,0
exp1_orig_p,mle,67,1,1,Clayton,Clayton,1
exp1_orig_p,mle,68,0,0,Gauss,GH,0
exp1_orig_p,mle,68,0,1,GH,Clayton,0
exp1_orig_p,mle,68,1,0,GH,Gauss,0
exp1_orig_p,mle,68,1,1,Clayton,Clayton,1
exp1_orig_p,mle,69,0,0,Gauss,GH,0
exp1_orig_p,mle,69,0,1,GH,Clayton,0
exp1_orig_p,mle,69,1,0,GH,GH,1
exp1_orig_p,mle,69,1,1,Clayton,Clayton,1
exp1_orig_p,mle,70,0,0,Gauss,GH,0
exp1_orig_p,mle,70,0,1,GH,Clayton,0
exp1_orig_p,mle,70,1,0,GH,Clayton,0
exp1_orig_p,mle,70,1,1,Clayton,Clayton,1
exp1_orig_p,mle,71,0,0,Gauss,GH,0
exp1_orig_p,mle,71,0,1,GH,Clayton,0
exp1_orig_p,mle,71,1,0,GH,Clayton,0
exp1_orig_p,mle,71,1,1,Clayton,Clayton,1
exp1_orig_p,mle,72,0,0,Gauss,GH,0
exp1_orig_p,mle,72,0,1,GH,Clayton,0
exp1_orig_p,mle,72,1,0,GH,GH,1
exp1_orig_p,mle,72,1,1,Clayton,Clayton,1
exp1_orig_p,mle,73,0,0,Gauss,GH,0
exp1_orig_p,mle,73,0,1,GH,Clayton,0
exp1_orig_p,mle,73,1,0,GH,Clayton,0
exp1_orig_p,mle,73,1,1,Clayton,Clayton,1
exp1_orig_p,mle,74,0,0,Gauss,Clayton,0
exp1_orig_p,mle,74,0,1,GH,Clayton,0
exp1_orig_p,mle,74,1,0,GH,Gauss,0
exp1_orig_p,mle,74,1,1,Clayton,Clayton,1
exp1_orig_p,mle,75,0,0,Gauss,GH,0
exp1_orig_p,mle,75,0,1,GH,GH,1
exp1_orig_p,mle,75,1,0,GH,GH,1
exp1_orig_p,mle,75,1,1,Clayton,Clayton,1
exp1_orig_p,mle,76,0,0,Gauss,GH,0
exp1_orig_p,mle,76,0,1,GH,Gauss,0
exp1_orig_p,mle,76,1,0,GH,Clayton,0
exp1_orig_p,mle,76,1,1,Clayton,Clayton,1
exp1_orig_p,mle,77,0,0,Gauss,GH,0
exp1_orig_p,mle,77,0,1,GH,Clayton,0
exp1_orig_p,mle,77,1,0,GH,Gauss,0
exp1_orig_p,mle,77,1,1,Clayton,Clayton,1
exp1_orig_p,mle,78,0,0,Gauss,Gauss,1
exp1_orig_p,mle,78,0,1,GH,Clayton,0
exp1_orig_p,mle,78,1,0,GH,Gauss,0
exp1_orig_p,mle,78,1,1,Clayton,Clayton,1
exp1_orig_p,mle,79,0,0,Gauss,GH,0
exp1_orig_p,mle,79,0,1,GH,Gauss,0
exp1_orig_p,mle,79,1,0,GH,Clayton,0
exp1_orig_p,mle,79,1,1,Clayton,Clayton,1
exp1_orig_p,mle,80,0,0,Gauss,Gauss,1
exp1_orig_p,mle,80,0,1,GH,Clayton,0
exp1_orig_p,mle,80,1,0,GH,GH,1
exp1_orig_p,mle,80,1,1,Clayton,Clayton,1
exp1_orig_p,mle,81,0,0,Gauss,Gauss,1
exp1_orig_p,mle,81,0,1,GH,Clayton,0
exp1_orig_p,mle,81,1,0,GH,GH,1
exp1_orig_p,mle,81,1,1,Clayton,Clayton,1
exp1_orig_p,mle,82,0,0,Gauss,GH,0
exp1_orig_p,mle,82,0,1,GH,Clayton,0
exp1_orig_p,mle,82,1,0,GH,Gauss,0
exp1_orig_p,mle,82,1,1,Clayton,Clayton,1
exp1_orig_p,mle,83,0,0,Gauss,GH,0
exp1_orig_p,mle,83,0,1,GH,Clayton,0
exp1_orig_p,mle,83,1,0,GH,GH,1
exp1_orig_p,mle,83,1,1,Clayton,Clayton,1
exp1_orig_p,mle,84,0,0,Gauss,GH,0
exp1_orig_p,mle,84,0,1,GH,GH,1
exp1_orig_p,mle,84,1,0,GH,Gauss,0
exp1_orig_p,mle,84,1,1,Clayton,Clayton,1
exp1_orig_p,mle,85,0,0,Gauss,GH,0
exp1_orig_p,mle,85,0,1,GH,Clayton,0
exp1_orig_p,mle,85,1,0,GH,Clayton,0
exp1_orig_p,mle,85,1,1,Clayton,Clayton,1
exp1_orig_p,mle,86,0,0,Gauss,GH,0
exp1_orig_p,mle,86,0,1,GH,Clayton,0
exp1_orig_p,mle,86,1,0,GH,GH,1
exp1_orig_p,mle,86,1,1,Clayton,Clayton,1
