config,criterion,run,i,j,true,sel,hit
exp1_orig_p,huard_global,43,0,0,Gauss,GH,0
exp1_orig_p,huard_global,43,0,1,GH,Gauss,0
exp1_orig_p,huard_global,43,1,0,GH,GH,1
exp1_orig_p,huard_global,43,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,44,0,0,Gauss,GH,0
exp1_orig_p,huard_global,44,0,1,GH,Clayton,0
exp1_orig_p,huard_global,44,1,0,GH,GH,1
exp1_orig_p,huard_global,44,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,45,0,0,Gauss,GH,0
exp1_orig_p,huard_global,45,0,1,GH,Clayton,0
exp1_orig_p,huard_global,45,1,0,GH,Clayton,0
exp1_orig_p,huard_global,45,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,46,0,0,Gauss,GH,0
exp1_orig_p,huard_global,46,0,1,GH,Gauss,0
exp1_orig_p,huard_global,46,1,0,GH,Gauss,0
exp1_orig_p,huard_global,46,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,47,0,0,Gauss,GH,0
exp1_orig_p,huard_global,47,0,1,GH,Gauss,0
exp1_orig_p,huard_global,47,1,0,GH,GH,1
exp1_orig_p,huard_global,47,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,48,0,0,Gauss,GH,0
exp1_orig_p,huard_global,48,0,1,GH,Clayton,0
exp1_orig_p,huard_global,48,1,0,GH,Gauss,0
exp1_orig_p,huard_global,48,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,49,0,0,Gauss,GH,0
exp1_orig_p,huard_global,49,0,1,GH,GH,1
exp1_orig_p,huard_global,49,1,0,GH,Clayton,0
exp1_orig_p,huard_global,49,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,50,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,50,0,1,GH,Gauss,0
exp1_orig_p,huard_global,50,1,0,GH,GH,1
exp1_orig_p,huard_global,50,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,51,0,0,Gauss,GH,0
exp1_orig_p,huard_global,51,0,1,GH,GH,1
exp1_orig_p,huard_global,51,1,0,GH,Gauss,0
exp1_orig_p,huard_global,51,1,1,Clayton,Clayton,1
