"# CSDA 2013 (Derrode & Pieczynski, doi:10.1016/j.csda.2013.01.027) Tables 2-5 as printed: rows = tested (restoration) copula, columns = true (simulation) copula; mean error % and std"
table,tested,true,mean,std
5a,c1,c2,22.59,0.7
5a,c1,c3,22.41,0.6
5a,c1,c6,22.52,0.7
5a,c1,c7,22.93,0.7
5a,c1,c8,22.67,0.7
5a,c2,c0,20.25,0.8
5a,c2,c1,22.66,0.7
5a,c2,c2,22.09,0.7
5a,c2,c3,22.25,0.7
5a,c2,c6,22.99,0.7
5a,c2,c7,22.49,0.7
5a,c2,c8,22.29,0.7
5a,c3,c0,25.60,0.8
5a,c3,c1,23.30,0.7
5a,c3,c2,22.76,0.8
5a,c3,c3,21.80,0.8
5a,c3,c6,25.72,0.8
5a,c3,c7,23.47,0.8
5a,c3,c8,22.43,0.7
5a,c6,c0,29.13,1.0
5a,c6,c1,25.73,0.8
5a,c6,c2,24.93,0.8
5a,c6,c3,27.38,0.8
5a,c6,c6,19.50,0.8
5a,c6,c7,24.49,0.8
5a,c6,c8,26.19,0.8
5a,c7,c0,20.11,0.8
5a,c7,c1,22.75,0.7
5a,c7,c2,22.21,0.7
5a,c7,c3,22.76,0.7
5a,c7,c6,22.08,0.7
5a,c7,c7,22.38,0.7
5a,c7,c8,22.61,0.7
5a,c8,c0,21.52,0.7
5a,c8,c1,22.81,0.7
5a,c8,c2,22.26,0.7
5a,c8,c3,21.93,0.7
5a,c8,c6,24.28,0.7
5a,c8,c7,22.78,0.7
5a,c8,c8,22.19,0.7
5b,c0,c0,17.04,0.6
5b,c0,c1,23.75,0.6
5b,c0,c2,23.54,0.6
5b,c0,c3,23.70,0.6
5b,c0,c6,24.06,0.6
5b,c0,c7,23.58,0.6
5b,c0,c8,23.57,0.6
5b,c1,c0,26.64,0.9
5b,c1,c1,12.02,0.6
5b,c1,c2,11.14,0.6
5b,c1,c3,11.24,0.7
5b,c1,c6,12.89,0.6
5b,c1,c7,11.69,0.6
5b,c1,c8,11.35,0.7
5b,c2,c0,26.26,0.9
5b,c2,c1,12.25,0.7
5b,c2,c2,10.73,0.6
5b,c2,c3,10.36,0.7
5b,c2,c6,13.37,0.6
5b,c2,c7,11.44,0.6
5b,c2,c8,10.72,0.7
5b,c3,c0,27.36,0.9
